Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",85.02,85.02,79.06,81.19,"308,269","93,916,400"
"Mar 22, 2018",90.16,92.31,83.13,84.89,"313,740","99,589,600"
"Mar 21, 2018",89.80,93.27,87.78,90.16,"441,613","99,188,400"
"Mar 20, 2018",86.19,91.33,83.43,89.61,"320,227","95,202,700"
"Mar 19, 2018",80.35,85.54,78.60,85.54,"387,981","88,751,700"
"Mar 18, 2018",80.12,81.95,72.85,80.99,"641,678","88,504,100"
"Mar 17, 2018",85.50,85.50,78.48,80.49,"551,645","94,444,800"
"Mar 16, 2018",86.08,87.80,82.98,85.10,"329,305","95,078,600"
"Mar 15, 2018",86.58,86.78,80.59,86.12,"328,782","95,637,900"
"Mar 14, 2018",100.72,103.22,83.95,86.01,"342,273","111,251,000"
"Mar 13, 2018",102.38,106.12,100.09,101.11,"274,317","113,091,000"
"Mar 12, 2018",107.38,110.31,101.73,102.85,"385,187","118,608,000"
"Mar 11, 2018",102.73,109.38,99.32,107.52,"311,930","113,477,000"
"Mar 10, 2018",108.06,113.06,102.36,103.00,"324,087","119,360,000"
"Mar 09, 2018",112.37,113.91,97.51,107.97,"646,363","124,118,000"
"Mar 08, 2018",122.71,124.52,111.70,112.46,"520,952","135,541,000"
"Mar 07, 2018",130.82,136.11,116.14,122.88,"800,653","144,508,000"
"Mar 06, 2018",142.97,143.53,129.85,130.95,"469,116","157,929,000"
"Mar 05, 2018",146.03,148.41,140.38,141.27,"1,033,570","161,298,000"
"Mar 04, 2018",138.16,171.44,137.42,145.52,"5,912,020","152,606,000"
"Mar 03, 2018",144.20,144.50,135.19,138.35,"666,649","159,280,000"
"Mar 02, 2018",140.44,144.25,136.73,144.24,"1,052,980","155,123,000"
"Mar 01, 2018",132.84,142.36,129.34,141.83,"684,227","146,737,000"
"Feb 28, 2018",132.77,136.73,129.41,131.70,"379,829","146,654,000"
"Feb 27, 2018",134.37,137.65,131.39,132.79,"354,873","148,421,000"
"Feb 26, 2018",129.16,135.72,126.82,134.19,"258,032","142,668,000"
"Feb 25, 2018",130.66,132.35,125.85,129.08,"411,321","144,327,000"
"Feb 24, 2018",143.52,146.90,126.93,131.02,"503,157","158,532,000"
"Feb 23, 2018",121.58,143.85,119.23,142.94,"829,352","134,294,000"
"Feb 22, 2018",129.55,135.79,121.64,121.64,"365,920","143,097,000"
