Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.547000,13.22,0.500890,1.15,"17,489","3,591,970"
"Mar 25, 2018",2.47,2.69,0.329500,0.548214,"6,559","16,207,800"
"Mar 24, 2018",0.422999,2.51,0.285357,2.50,"4,841","2,777,690"
"Mar 23, 2018",0.705602,0.706915,0.408466,0.419133,"1,195","4,633,450"
"Mar 22, 2018",0.408710,0.711014,0.408274,0.705722,"3,961","2,683,860"
"Mar 21, 2018",0.446045,0.447100,0.398207,0.407712,958,"2,929,030"
"Mar 20, 2018",0.393667,0.450137,0.184303,0.443321,"4,443","2,585,080"
"Mar 19, 2018",0.561777,0.599331,0.246523,0.390548,"10,932","3,689,000"
"Mar 18, 2018",1.85,2.60,0.094987,0.564037,"3,251","12,169,900"
"Mar 17, 2018",2.07,2.08,1.68,1.85,"6,928","13,617,600"
"Mar 16, 2018",1.99,2.18,1.95,2.07,"4,890","13,079,100"
"Mar 15, 2018",2.01,2.09,1.79,1.99,"7,939","13,194,900"
"Mar 14, 2018",0.859224,2.02,0.819559,2.01,"5,758","5,642,240"
"Mar 13, 2018",0.388815,0.860285,0.342253,0.858894,"2,822","2,553,220"
"Mar 12, 2018",0.621333,0.646433,0.342297,0.389215,"1,624","4,080,090"
"Mar 11, 2018",0.343464,0.988880,0.335370,0.622101,"1,420","2,255,420"
"Mar 10, 2018",0.472621,0.485236,0.342046,0.344491,"3,149","3,103,540"
"Mar 09, 2018",1.69,2.16,0.443834,0.472861,935,"11,124,200"
"Mar 08, 2018",0.382396,1.88,0.375170,1.86,"6,039","2,511,070"
"Mar 07, 2018",0.395950,0.529614,0.275704,0.382999,"3,680","2,600,070"
"Mar 06, 2018",2.98,2.98,0.372944,0.395562,694,"19,580,500"
"Mar 05, 2018",1.21,3.01,1.21,2.98,213,"7,950,280"
"Mar 04, 2018",1.60,1.60,0.225442,1.21,"1,646","10,511,700"
"Mar 03, 2018",1.21,1.83,0.353254,1.60,825,"7,932,200"
"Mar 02, 2018",0.916218,3.00,0.913553,1.21,791,"6,016,500"
"Mar 01, 2018",0.414688,1.53,0.413419,0.916481,"1,380","2,723,120"
"Feb 28, 2018",0.425039,0.429767,0.414535,0.414556,490,"2,791,090"
"Feb 27, 2018",0.875485,0.880887,0.218009,0.424886,"2,026","5,749,020"
"Feb 26, 2018",1.08,1.41,0.677525,0.873085,"2,545","7,107,120"
"Feb 25, 2018",1.59,1.59,0.548254,1.08,"3,632","10,430,700"
"Feb 24, 2018",1.56,2.13,1.21,1.59,"1,741","10,263,800"
"Feb 23, 2018",0.100000,1.64,0.100000,1.56,"1,893","656,669"
"Feb 16, 2018",0.353182,0.358819,0.345943,0.349785,230,"2,319,230"
"Feb 15, 2018",0.369343,0.518729,0.346385,0.353434,835,"2,425,350"
"Feb 14, 2018",0.462957,0.486179,0.367348,0.369152,423,"3,040,080"
"Feb 13, 2018",0.464350,0.467458,0.461273,0.463158,880,"3,049,230"
"Feb 09, 2018",0.358337,0.358337,0.346564,0.349056,16,"2,353,080"
"Feb 08, 2018",0.301549,0.371473,0.301549,0.357892,16,"1,980,170"
"Feb 07, 2018",0.225404,0.244309,0.205504,0.214497,73,"1,480,150"
