Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.850602,0.892089,0.797431,0.827992,"24,996","14,779,700"
"Mar 24, 2018",0.773185,1.01,0.730251,0.902867,"92,181","13,430,100"
"Mar 23, 2018",0.771094,0.860821,0.713004,0.762088,"64,292","13,389,500"
"Mar 22, 2018",0.763744,0.852828,0.730031,0.771113,"33,209","13,257,500"
"Mar 21, 2018",0.790028,0.836035,0.741101,0.834890,"34,312","13,709,200"
"Mar 20, 2018",0.823577,0.839801,0.601050,0.788599,"66,283","14,287,000"
"Mar 19, 2018",0.763803,0.863868,0.736211,0.814491,"20,350","13,245,800"
"Mar 18, 2018",0.797600,0.823191,0.620296,0.776781,"107,292","13,827,400"
"Mar 17, 2018",0.859021,0.898092,0.794555,0.799545,"31,040","14,887,300"
"Mar 16, 2018",0.986428,1.02,0.739816,0.864004,"133,885","17,090,200"
"Mar 15, 2018",1.01,1.03,0.811592,0.986984,"74,622","17,566,700"
"Mar 14, 2018",1.15,1.19,1.01,1.01,"29,318","19,873,200"
"Mar 13, 2018",1.14,1.17,1.08,1.15,"53,947","19,660,200"
"Mar 12, 2018",1.17,1.24,1.08,1.14,"27,394","20,177,800"
"Mar 11, 2018",1.10,1.25,1.06,1.17,"39,956","18,969,000"
"Mar 10, 2018",1.21,1.26,1.09,1.11,"65,764","20,990,500"
"Mar 09, 2018",1.25,1.29,1.02,1.21,"83,981","21,560,200"
"Mar 08, 2018",1.35,1.42,1.21,1.26,"125,978","23,245,900"
"Mar 07, 2018",1.59,1.61,1.26,1.35,"93,642","27,380,300"
"Mar 06, 2018",1.63,1.66,1.48,1.59,"155,934","28,183,300"
"Mar 05, 2018",1.62,1.72,1.48,1.69,"134,815","27,862,500"
"Mar 04, 2018",1.40,1.70,1.36,1.61,"149,223","24,093,800"
"Mar 03, 2018",1.37,1.53,1.33,1.40,"70,510","23,591,100"
"Mar 02, 2018",1.28,1.54,1.17,1.37,"109,944","21,925,200"
"Mar 01, 2018",1.35,1.43,1.23,1.23,"67,461","23,129,200"
"Feb 28, 2018",1.39,1.48,1.35,1.35,"47,777","23,777,200"
"Feb 27, 2018",1.43,1.60,1.34,1.39,"158,791","24,374,100"
"Feb 26, 2018",1.13,1.69,0.954580,1.42,"386,996","19,255,400"
"Feb 25, 2018",0.947751,1.23,0.894665,1.13,"201,304","16,142,300"
"Feb 24, 2018",0.979758,1.06,0.894290,0.949174,"43,043","16,662,100"
"Feb 23, 2018",0.982263,1.11,0.939188,1.01,"35,664","16,677,400"
"Feb 22, 2018",0.968291,1.27,0.889862,0.983181,"82,468","16,414,500"
"Feb 21, 2018",1.17,1.22,0.965027,0.969275,"49,693","19,721,400"
"Feb 20, 2018",1.43,1.56,1.06,1.17,"142,836","24,206,300"
"Feb 19, 2018",1.05,1.40,1.04,1.40,"121,333","17,678,100"
"Feb 18, 2018",1.20,1.30,1.01,1.04,"70,120","20,268,700"
"Feb 17, 2018",1.18,1.29,1.09,1.20,"59,213","19,906,200"
"Feb 16, 2018",1.19,1.26,1.11,1.18,"67,223","20,008,900"
"Feb 15, 2018",1.23,1.32,1.12,1.21,"62,008","20,662,300"
"Feb 14, 2018",1.13,1.30,1.07,1.26,"66,256","18,904,300"
"Feb 13, 2018",1.25,1.25,1.05,1.13,"111,504","20,819,300"
"Feb 12, 2018",1.17,1.40,1.17,1.24,"71,091","19,600,700"
"Feb 11, 2018",1.28,1.37,1.15,1.17,"72,870","21,401,900"
"Feb 10, 2018",1.24,1.43,1.16,1.29,"205,800","20,636,200"
"Feb 09, 2018",0.962921,1.25,0.879613,1.21,"354,154","15,991,800"
