Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.952427,0.965315,0.851336,0.864022,"16,194,900",-
"Mar 05, 2018",0.878632,1.03,0.875508,0.954111,"30,149,600",-
"Mar 04, 2018",0.868128,0.897068,0.856463,0.878634,"12,477,800",-
"Mar 03, 2018",0.905434,0.913515,0.867877,0.869241,"32,238,200",-
"Mar 02, 2018",0.959093,0.980417,0.901100,0.906220,"32,122,700",-
"Mar 01, 2018",0.873073,0.976126,0.867979,0.960542,"35,262,800",-
"Feb 28, 2018",0.843694,0.933897,0.820294,0.872149,"15,152,800",-
"Feb 27, 2018",0.852395,0.896545,0.808578,0.845028,"18,699,200",-
"Feb 26, 2018",0.827724,0.909094,0.813737,0.850159,"26,132,100",-
"Feb 25, 2018",0.839626,0.891806,0.806796,0.827484,"11,296,500",-
"Feb 24, 2018",0.939305,0.954025,0.715806,0.840944,"9,837,730",-
"Feb 23, 2018",0.877045,0.972888,0.866388,0.940406,"4,377,980",-
"Feb 22, 2018",0.909822,0.973529,0.868342,0.887724,"5,918,340",-
"Feb 21, 2018",1.00,1.01,0.874307,0.911129,"10,333,400",-
"Feb 20, 2018",1.06,1.10,1.00,1.00,"1,595,070",-
"Feb 19, 2018",1.03,1.10,1.02,1.06,"340,873",-
"Feb 18, 2018",1.11,1.15,0.994085,1.03,"3,106,390",-
"Feb 17, 2018",1.12,1.16,1.06,1.12,"557,014",-
"Feb 16, 2018",1.16,1.17,1.08,1.12,"2,606,730",-
"Feb 15, 2018",1.13,1.18,1.07,1.16,"2,404,050",-
"Feb 14, 2018",1.03,1.15,1.03,1.13,"3,805,040",-
"Feb 13, 2018",1.04,1.06,0.987573,1.03,"456,889",-
"Feb 12, 2018",0.984827,1.06,0.980181,1.04,"5,987,040",-
"Feb 11, 2018",1.10,1.10,0.859039,0.984054,"3,611,520",-
"Feb 10, 2018",1.25,1.38,0.993001,1.09,"7,157,270",-
"Feb 09, 2018",0.711342,1.27,0.710859,1.25,"42,981,000",-
"Feb 08, 2018",0.738017,0.897873,0.601074,0.711191,"12,393,100",-
"Feb 07, 2018",0.773242,0.839995,0.699103,0.738034,"19,380,400",-
"Feb 06, 2018",0.794118,0.878331,0.502083,0.773766,"7,274,940",-
"Feb 05, 2018",0.911127,0.960798,0.695223,0.793782,"1,490,340",-
"Feb 04, 2018",1.06,1.06,0.846575,0.915981,"1,020,050",-
"Feb 03, 2018",1.16,1.27,0.981635,1.06,"572,677",-
"Feb 02, 2018",0.960983,1.38,0.793087,1.16,"4,831,140",-
"Feb 01, 2018",1.14,1.19,0.934974,0.961993,"2,066,670",-
"Jan 31, 2018",1.13,1.18,0.971788,1.16,"1,014,390",-
"Jan 30, 2018",1.23,1.43,1.12,1.13,"3,584,300",-
"Jan 29, 2018",1.25,1.32,1.19,1.23,"1,762,600",-
"Jan 28, 2018",1.35,1.44,1.21,1.24,"1,506,600",-
"Jan 27, 2018",1.26,1.44,1.23,1.35,"2,349,640",-
"Jan 26, 2018",1.39,1.56,1.23,1.26,"4,031,690",-
"Jan 25, 2018",1.24,1.84,1.03,1.39,"4,693,880",-
"Jan 24, 2018",1.13,1.31,0.993737,1.24,"352,020",-
