Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.151499,0.161459,0.136300,0.144461,"22,241,800","36,359,700"
"Mar 29, 2018",0.212406,0.212406,0.148870,0.151491,"44,075,600","50,977,500"
"Mar 28, 2018",0.144201,0.221971,0.144201,0.209245,"90,751,600","34,608,200"
"Mar 27, 2018",0.152150,0.157166,0.129572,0.143323,"14,192,500","36,516,000"
"Mar 26, 2018",0.104842,0.251377,0.104842,0.156090,"58,162,200","25,162,100"
"Mar 25, 2018",0.110221,0.114243,0.097783,0.104826,"341,372","26,453,100"
"Mar 24, 2018",0.113873,0.115603,0.101530,0.112294,"228,392","27,329,500"
"Mar 23, 2018",0.097592,0.112703,0.078744,0.112428,"473,104","23,422,100"
"Mar 22, 2018",0.101186,0.109141,0.089974,0.097667,"176,364","24,284,700"
"Mar 21, 2018",0.103648,0.117488,0.098366,0.101294,"354,084","24,875,500"
"Mar 20, 2018",0.096053,0.108974,0.091674,0.103176,"115,572","23,052,800"
"Mar 19, 2018",0.090506,0.098628,0.085661,0.096176,"161,948","21,721,500"
"Mar 18, 2018",0.091544,0.093175,0.077571,0.090816,"186,727","21,970,500"
"Mar 17, 2018",0.100863,0.102601,0.091319,0.092682,"153,767","24,207,100"
"Mar 16, 2018",0.106656,0.109356,0.093237,0.100736,"503,589","25,597,400"
"Mar 15, 2018",0.113562,0.121131,0.096244,0.109158,"422,312","27,254,800"
"Mar 14, 2018",0.138477,0.146264,0.110760,0.115334,"237,060","33,234,500"
"Mar 13, 2018",0.135665,0.139040,0.130761,0.138423,"184,071","32,559,600"
"Mar 12, 2018",0.116178,0.154826,0.116178,0.136414,"743,541","27,882,700"
"Mar 11, 2018",0.115246,0.122300,0.110330,0.116487,"144,942","27,658,900"
"Mar 10, 2018",0.127421,0.135513,0.108421,0.115999,"171,641","30,581,000"
"Mar 09, 2018",0.114284,0.127446,0.091767,0.127446,"322,314","27,428,200"
"Mar 08, 2018",0.124240,0.128625,0.107270,0.114694,"319,868","29,817,700"
"Mar 07, 2018",0.146096,0.150573,0.120893,0.124196,"440,127","35,062,900"
"Mar 06, 2018",0.172653,0.175755,0.140345,0.146946,"592,077","41,436,700"
"Mar 05, 2018",0.183263,0.184843,0.171281,0.172018,"503,962","43,983,100"
"Mar 04, 2018",0.184197,0.193477,0.180286,0.182196,"315,319","44,207,400"
"Mar 03, 2018",0.208404,0.209819,0.175778,0.183386,"623,405","50,017,000"
"Mar 02, 2018",0.218037,0.221598,0.205027,0.208575,"556,156","52,328,800"
"Mar 01, 2018",0.219331,0.220637,0.205937,0.219886,"464,581","52,639,300"
"Feb 28, 2018",0.220433,0.232329,0.213864,0.219679,"654,290","52,903,900"
"Feb 27, 2018",0.212542,0.225438,0.199451,0.220348,"1,009,000","51,010,100"
"Feb 26, 2018",0.185499,0.213469,0.181780,0.211064,"816,273","44,519,800"
"Feb 25, 2018",0.182112,0.195313,0.176528,0.185381,"310,155","43,706,800"
"Feb 24, 2018",0.194345,0.209547,0.182800,0.182800,"418,326","46,642,900"
"Feb 23, 2018",0.182265,0.205523,0.173770,0.194552,"571,906","43,743,600"
"Feb 22, 2018",0.196536,0.216767,0.177121,0.181352,"544,756","47,168,600"
"Feb 21, 2018",0.217619,0.218613,0.190776,0.202276,"461,074","52,228,600"
"Feb 20, 2018",0.240660,0.254522,0.216451,0.217478,"731,414","57,758,500"
"Feb 19, 2018",0.219944,0.259905,0.208652,0.235930,"753,874","52,786,600"
"Feb 18, 2018",0.261375,0.263792,0.218616,0.220793,"714,009","62,730,000"
"Feb 17, 2018",0.258181,0.286615,0.255414,0.260891,"760,282","61,963,300"
"Feb 16, 2018",0.246521,0.279821,0.244857,0.258392,"644,091","59,165,100"
"Feb 15, 2018",0.269262,0.271447,0.239778,0.246233,"806,829","64,622,800"
"Feb 14, 2018",0.247219,0.277384,0.242466,0.271117,"749,205","59,332,500"
"Feb 13, 2018",0.258712,0.268779,0.244920,0.247074,"907,376","62,090,800"
"Feb 12, 2018",0.223203,0.276597,0.220716,0.258330,"1,606,430","53,568,700"
"Feb 11, 2018",0.222134,0.243308,0.184666,0.222182,"808,828","53,312,200"
"Feb 10, 2018",0.231050,0.238536,0.194535,0.222432,"1,060,040","55,452,000"
"Feb 09, 2018",0.194847,0.247118,0.177735,0.229744,"1,092,840","46,763,300"
"Feb 08, 2018",0.170836,0.199436,0.167614,0.195925,"600,645","41,000,700"
"Feb 07, 2018",0.191695,0.200197,0.165494,0.171225,"687,947","46,006,800"
"Feb 06, 2018",0.155763,0.194636,0.116147,0.192674,"1,118,560","37,383,100"
"Feb 05, 2018",0.207691,0.210778,0.134780,0.151761,"637,728","49,845,800"
"Feb 04, 2018",0.266421,0.278653,0.188961,0.208939,"1,188,850","63,941,000"
"Feb 03, 2018",0.236020,0.276017,0.216857,0.263797,"79,394,300","56,644,900"
"Feb 02, 2018",0.232527,0.273707,0.157798,0.238280,"3,074,160","55,806,400"
"Feb 01, 2018",0.249358,0.262978,0.184951,0.232120,"4,536,750","59,846,000"
"Jan 31, 2018",0.256633,0.266976,0.233357,0.248823,"6,653,990","61,591,800"
"Jan 30, 2018",0.326175,0.327355,0.240995,0.256885,"3,930,760","78,282,000"
"Jan 29, 2018",0.363699,0.363699,0.291387,0.326109,"3,787,310","87,287,700"
"Jan 28, 2018",0.408229,0.427901,0.359587,0.368574,"3,754,880","97,975,100"
"Jan 27, 2018",0.373382,0.449436,0.360270,0.404619,"3,089,870","89,611,800"
"Jan 26, 2018",0.370879,0.385885,0.335618,0.373347,"1,782,840","89,010,900"
"Jan 25, 2018",0.400732,0.413113,0.356530,0.372787,"1,540,060","96,175,600"
"Jan 24, 2018",0.350517,0.401765,0.343479,0.395606,"1,049,260","84,124,200"
"Jan 23, 2018",0.353439,0.391233,0.312031,0.349821,"931,271","84,825,400"
"Jan 22, 2018",0.423958,0.460801,0.328342,0.352147,"1,281,640","101,750,000"
"Jan 21, 2018",0.492005,0.492476,0.385627,0.422497,"1,136,380","118,081,000"
"Jan 20, 2018",0.467688,0.514591,0.429057,0.494367,"2,118,550","112,245,000"
"Jan 19, 2018",0.482166,0.505233,0.435063,0.465316,"1,617,590","115,720,000"
"Jan 18, 2018",0.525614,0.597300,0.480657,0.487292,"2,619,920","126,147,000"
"Jan 17, 2018",0.459746,0.554252,0.339583,0.521541,"3,236,550","110,339,000"
"Jan 16, 2018",0.523363,0.543543,0.325895,0.456231,"3,407,260",-
"Jan 15, 2018",0.689858,0.731637,0.483985,0.520688,"4,878,390",-
"Jan 14, 2018",0.803130,0.803130,0.549339,0.703585,"4,412,700",-
"Jan 13, 2018",0.937184,0.937184,0.706533,0.804227,"6,410,470",-
"Jan 12, 2018",0.859283,1.01,0.811492,0.941467,"6,126,850",-
"Jan 11, 2018",1.02,1.04,0.684935,0.850940,"8,071,430",-
"Jan 10, 2018",1.21,1.21,0.839713,1.01,"11,009,300",-
"Jan 09, 2018",0.917169,1.28,0.837080,1.25,"15,938,400",-
"Jan 08, 2018",0.730533,0.930230,0.631350,0.919689,"10,944,600",-
"Jan 07, 2018",0.628834,0.734569,0.611896,0.723269,"11,515,300",-
"Jan 06, 2018",0.462383,0.627245,0.435314,0.624511,"6,845,680",-
"Jan 05, 2018",0.502209,0.533265,0.413904,0.462832,"6,786,680",-
"Jan 04, 2018",0.451247,0.550816,0.401546,0.505551,"8,776,550",-
"Jan 03, 2018",0.348578,0.467686,0.305544,0.443587,"6,989,790",-
"Jan 02, 2018",0.326159,0.357101,0.304074,0.343319,"3,360,940",-
"Jan 01, 2018",0.359756,0.367955,0.294733,0.332395,"2,616,520",-
"Dec 31, 2017",0.243592,0.358301,0.240672,0.358301,"4,382,510",-
"Dec 30, 2017",0.294843,0.307431,0.202738,0.242224,"2,512,180",-
"Dec 29, 2017",0.335557,0.352562,0.288382,0.290141,"9,911,000",-
