Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.008673,0.009567,0.007664,0.009357,"41,144","8,719,660"
"Mar 25, 2018",0.008397,0.009030,0.007644,0.008684,"37,520","8,442,930"
"Mar 24, 2018",0.007744,0.009692,0.006718,0.008224,"33,954","7,786,220"
"Mar 23, 2018",0.007728,0.008432,0.007463,0.007751,"9,450","7,769,690"
"Mar 22, 2018",0.009566,0.009851,0.007618,0.007747,"3,959","9,617,730"
"Mar 21, 2018",0.008670,0.010807,0.008000,0.009519,"18,548","8,716,470"
"Mar 20, 2018",0.006754,0.025786,0.006719,0.008683,"33,033","6,790,160"
"Mar 19, 2018",0.006907,0.007027,0.006049,0.006758,"10,485","6,944,880"
"Mar 18, 2018",0.007083,0.007133,0.005878,0.006910,"21,357","7,121,120"
"Mar 17, 2018",0.007137,0.007621,0.005953,0.007073,"5,634","7,175,400"
"Mar 16, 2018",0.006406,0.007993,0.006401,0.007163,"18,534","6,440,880"
"Mar 15, 2018",0.006817,0.007621,0.006358,0.006391,"17,649","6,854,340"
"Mar 14, 2018",0.007208,0.007966,0.006723,0.006849,"5,495","7,246,690"
"Mar 13, 2018",0.007805,0.007977,0.007023,0.007219,"10,727","7,847,110"
"Mar 12, 2018",0.007668,0.008904,0.006787,0.007806,"20,309","7,709,190"
"Mar 11, 2018",0.007691,0.008580,0.005061,0.007660,"40,617","7,732,610"
"Mar 10, 2018",0.009891,0.010313,0.006899,0.007695,"34,524","9,944,660"
"Mar 09, 2018",0.009778,0.010205,0.008687,0.009878,"16,372","9,830,590"
"Mar 08, 2018",0.009563,0.010255,0.008363,0.009770,"28,430","9,614,560"
"Mar 07, 2018",0.010544,0.010562,0.008651,0.009553,"34,569","10,601,100"
"Mar 06, 2018",0.010556,0.010722,0.009653,0.010562,"19,235","10,613,100"
"Mar 05, 2018",0.010608,0.011770,0.009706,0.010557,"27,496","10,665,700"
"Mar 04, 2018",0.011119,0.011140,0.009901,0.010575,"41,406","11,179,700"
"Mar 03, 2018",0.011306,0.011399,0.010062,0.011107,"43,505","11,367,200"
"Mar 02, 2018",0.011682,0.013048,0.011304,0.011304,"28,463","11,744,800"
"Mar 01, 2018",0.010072,0.012852,0.010072,0.011785,"80,869","10,126,300"
"Feb 28, 2018",0.013247,0.013312,0.010011,0.010617,"117,415","13,318,600"
"Feb 27, 2018",0.014050,0.014060,0.012065,0.013282,"39,282","14,126,500"
"Feb 26, 2018",0.015794,0.015795,0.012138,0.014059,"43,286","15,879,800"
"Feb 25, 2018",0.014881,0.015818,0.014875,0.015805,"11,548","14,961,200"
"Feb 24, 2018",0.016788,0.017667,0.015212,0.015804,"47,948","16,879,000"
"Feb 23, 2018",0.017093,0.017137,0.014509,0.016788,"40,419","17,185,100"
"Feb 22, 2018",0.017678,0.020427,0.011904,0.017167,"105,692","17,774,000"
"Feb 21, 2018",0.021487,0.023289,0.016821,0.017739,"117,590","21,603,400"
"Feb 20, 2018",0.023395,0.026121,0.020599,0.021503,"36,378","23,522,100"
"Feb 19, 2018",0.024132,0.025140,0.021870,0.023400,"37,784","24,262,900"
"Feb 18, 2018",0.027349,0.027376,0.023247,0.023249,"49,611","27,497,400"
"Feb 17, 2018",0.026403,0.028135,0.024551,0.027351,"56,229","26,545,600"
"Feb 16, 2018",0.028128,0.029254,0.023626,0.025489,"56,149","28,280,000"
"Feb 15, 2018",0.029727,0.029734,0.027891,0.028080,"24,378","29,887,600"
"Feb 14, 2018",0.026810,0.029731,0.024965,0.029716,"84,683","26,955,200"
"Feb 13, 2018",0.027660,0.028675,0.026738,0.026864,"33,896","27,809,300"
"Feb 12, 2018",0.027681,0.029532,0.026758,0.027694,"63,788","27,830,400"
"Feb 11, 2018",0.033217,0.034086,0.025863,0.027675,"89,428","33,396,300"
"Feb 10, 2018",0.031418,0.040517,0.029559,0.033221,"153,123","31,587,800"
"Feb 09, 2018",0.027467,0.032225,0.026527,0.031328,"108,979","27,615,900"
"Feb 08, 2018",0.022359,0.029288,0.021490,0.027542,"94,201","22,480,400"
"Feb 07, 2018",0.026736,0.034703,0.022412,0.022419,"83,582","26,881,000"
"Feb 06, 2018",0.020307,0.034166,0.017410,0.026788,913,"20,417,100"
