Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.416640,0.452978,0.356286,0.356286,"98,886","13,582,900"
"Mar 23, 2018",0.467827,0.490303,0.231976,0.431185,"120,010","15,171,100"
"Mar 22, 2018",0.476328,0.519997,0.423832,0.467876,"97,586","15,365,400"
"Mar 21, 2018",0.518985,0.576608,0.454906,0.475745,"116,878","16,652,100"
"Mar 20, 2018",0.488315,0.644716,0.463028,0.518030,"222,907","15,584,000"
"Mar 19, 2018",0.416062,0.548584,0.411258,0.482974,"128,147","13,206,700"
"Mar 18, 2018",0.388427,0.428821,0.334283,0.416477,"93,823","12,262,700"
"Mar 17, 2018",0.435713,0.460668,0.383808,0.389361,"77,573","13,680,700"
"Mar 16, 2018",0.404495,0.477392,0.380106,0.435011,"118,753","12,631,200"
"Mar 15, 2018",0.447594,0.476921,0.400178,0.400995,"101,069","13,900,100"
"Mar 14, 2018",0.542292,0.582604,0.421731,0.434210,"126,394","16,747,500"
"Mar 13, 2018",0.541165,0.590801,0.523084,0.542217,"99,727","16,620,200"
"Mar 12, 2018",0.618333,0.641917,0.494432,0.537378,"107,523","18,882,800"
"Mar 11, 2018",0.596808,0.633954,0.547740,0.620293,"125,507","18,122,400"
"Mar 10, 2018",0.637784,0.680374,0.593870,0.598864,"90,687","19,254,900"
"Mar 09, 2018",0.645550,0.657582,0.548844,0.604030,"143,572","19,378,300"
"Mar 08, 2018",0.648658,0.695115,0.556981,0.645985,"175,162","19,359,600"
"Mar 07, 2018",0.643495,0.722959,0.339228,0.647220,"122,453","19,093,600"
"Mar 06, 2018",0.766196,0.824527,0.643160,0.644223,"100,770","22,601,800"
"Mar 05, 2018",0.874560,1.02,0.685635,0.814919,"169,799","25,647,900"
"Mar 04, 2018",0.836661,0.922817,0.802373,0.875194,"166,417","24,392,700"
"Mar 03, 2018",0.781555,0.887409,0.766771,0.838107,"140,886","22,649,900"
"Mar 02, 2018",0.845985,0.921374,0.762341,0.782514,"97,267","24,371,500"
"Mar 01, 2018",0.753155,0.921684,0.749194,0.848376,"172,914","21,567,600"
"Feb 28, 2018",0.738638,1.05,0.735118,0.752059,"184,635","21,024,800"
"Feb 27, 2018",0.699636,0.843495,0.586079,0.742725,"132,291","19,794,300"
"Feb 26, 2018",0.659168,0.830828,0.539708,0.697628,"197,336","9,155,780"
"Feb 25, 2018",0.700670,0.752114,0.645164,0.658340,"111,356","9,611,550"
"Feb 24, 2018",0.770838,0.911864,0.701753,0.701753,"125,185","10,442,000"
"Feb 23, 2018",0.723497,0.784678,0.705551,0.751677,"148,169","9,676,610"
"Feb 22, 2018",0.836807,0.881013,0.698731,0.724178,"144,457","11,048,700"
"Feb 21, 2018",1.07,1.08,0.807855,0.837657,"151,333","13,886,000"
"Feb 20, 2018",1.09,1.15,0.946176,1.07,"237,577","14,023,900"
"Feb 19, 2018",1.04,1.20,1.04,1.09,"253,601","13,238,600"
"Feb 18, 2018",1.16,1.26,1.04,1.05,"162,849","14,451,000"
"Feb 17, 2018",1.11,1.26,1.09,1.16,"231,451","13,592,300"
"Feb 16, 2018",1.04,1.15,0.979929,1.11,"206,169","12,480,500"
"Feb 15, 2018",0.949776,1.10,0.912720,1.01,"204,649","11,251,400"
"Feb 14, 2018",0.884073,0.994529,0.829098,0.949253,"222,658","10,290,100"
"Feb 13, 2018",1.06,1.07,0.810095,0.830664,"195,158","12,143,500"
"Feb 12, 2018",0.700830,1.03,0.700830,0.993847,"207,853","7,868,450"
"Feb 11, 2018",0.968018,0.968018,0.696396,0.696396,"138,913","10,669,500"
"Feb 10, 2018",0.985243,1.03,0.846068,0.968848,"147,358","10,655,500"
"Feb 09, 2018",0.904877,1.02,0.824487,0.984524,"170,381","9,600,140"
"Feb 08, 2018",0.951569,1.11,0.898881,0.902071,"198,940","9,899,820"
"Feb 07, 2018",0.901756,1.06,0.776031,0.982235,"214,984","9,195,870"
"Feb 06, 2018",0.758690,0.993611,0.601204,0.910867,"232,362","7,580,890"
"Feb 05, 2018",0.924151,1.05,0.733998,0.759217,"167,573","9,044,420"
"Feb 04, 2018",1.12,1.31,0.903627,1.04,"179,373","10,721,700"
"Feb 03, 2018",0.927746,1.29,0.915014,1.12,"210,719","8,696,900"
"Feb 02, 2018",1.05,1.05,0.745973,1.03,"229,248","9,605,870"
"Feb 01, 2018",1.25,1.32,0.933823,1.06,"249,440","11,196,500"
"Jan 31, 2018",1.23,1.43,0.883035,1.22,"254,309","10,782,000"
"Jan 30, 2018",1.55,1.56,1.18,1.22,"221,065","11,572,100"
"Jan 29, 2018",1.62,1.74,1.28,1.55,"301,987","13,603,200"
"Jan 28, 2018",2.14,2.16,1.55,1.63,"281,443","17,493,400"
"Jan 27, 2018",2.12,2.26,1.52,2.13,"342,779","16,910,500"
"Jan 26, 2018",2.24,2.36,1.85,2.13,"365,803","17,353,300"
"Jan 25, 2018",2.52,2.67,2.18,2.24,"350,816","18,986,700"
"Jan 24, 2018",2.32,2.56,2.03,2.53,"397,354","17,052,800"
"Jan 23, 2018",1.93,2.39,1.90,2.32,"343,660","13,795,800"
