Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.123317,0.124183,0.101904,0.106346,"670,494","44,345,000"
"Mar 28, 2018",0.124380,0.128190,0.122458,0.123166,"727,330","44,727,000"
"Mar 27, 2018",0.128065,0.129743,0.120450,0.124249,"668,246","46,052,200"
"Mar 26, 2018",0.138090,0.141616,0.120840,0.128693,"1,263,580","49,657,300"
"Mar 25, 2018",0.134620,0.141573,0.130709,0.139292,"837,598","48,409,200"
"Mar 24, 2018",0.133529,0.151620,0.132876,0.136324,"1,805,390","48,016,900"
"Mar 23, 2018",0.131927,0.132709,0.122270,0.131951,"813,526","47,441,000"
"Mar 22, 2018",0.134884,0.139019,0.128335,0.132021,"862,154","48,504,200"
"Mar 21, 2018",0.138711,0.144035,0.132371,0.134717,"622,139","49,880,600"
"Mar 20, 2018",0.130548,0.143586,0.125316,0.139170,"760,483","46,945,000"
"Mar 19, 2018",0.122209,0.131350,0.119992,0.129117,"523,801","43,946,400"
"Mar 18, 2018",0.120344,0.122481,0.100267,0.122403,"763,311","43,275,600"
"Mar 17, 2018",0.141492,0.144606,0.118870,0.120398,"839,212","50,880,600"
"Mar 16, 2018",0.137154,0.145733,0.129433,0.141273,"1,090,630","49,320,700"
"Mar 15, 2018",0.138047,0.138829,0.127154,0.137312,"873,072","49,641,700"
"Mar 14, 2018",0.164939,0.168500,0.133008,0.138382,"866,081","59,312,100"
"Mar 13, 2018",0.158203,0.171102,0.151191,0.167622,"936,421","56,889,700"
"Mar 12, 2018",0.158648,0.167807,0.151395,0.158936,"1,406,310","57,049,700"
"Mar 11, 2018",0.149782,0.162081,0.140435,0.159289,"926,111","53,861,700"
"Mar 10, 2018",0.163069,0.175409,0.147167,0.151537,"1,839,380","58,639,500"
"Mar 09, 2018",0.145567,0.179300,0.126768,0.163878,"2,875,890","52,345,900"
"Mar 08, 2018",0.156030,0.160792,0.143410,0.145863,"842,068","56,108,300"
"Mar 07, 2018",0.179891,0.182146,0.149182,0.156039,"1,139,580","64,688,800"
"Mar 06, 2018",0.197635,0.197635,0.178534,0.180122,"959,152","71,069,500"
"Mar 05, 2018",0.206520,0.211574,0.196640,0.197959,"1,030,540","74,264,500"
"Mar 04, 2018",0.206247,0.210715,0.192844,0.206819,"1,140,160","74,166,400"
"Mar 03, 2018",0.224793,0.229840,0.205940,0.206807,"1,027,210","80,835,600"
"Mar 02, 2018",0.226529,0.229348,0.217487,0.224690,"983,982","81,459,800"
"Mar 01, 2018",0.211811,0.230078,0.207473,0.227300,"1,030,490","76,167,300"
"Feb 28, 2018",0.225126,0.232077,0.210609,0.211143,"984,192","80,955,300"
"Feb 27, 2018",0.229890,0.239719,0.223073,0.225275,"1,545,870","82,668,600"
"Feb 26, 2018",0.207465,0.234194,0.202138,0.231211,"1,392,820","74,604,300"
"Feb 25, 2018",0.211594,0.219635,0.201860,0.206911,"1,452,150","76,089,200"
"Feb 24, 2018",0.218488,0.226252,0.203294,0.211747,"833,231","78,568,400"
"Feb 23, 2018",0.210411,0.223210,0.204153,0.217895,"1,057,640","75,663,800"
"Feb 22, 2018",0.224013,0.242342,0.205616,0.210966,"1,239,180","80,555,000"
"Feb 21, 2018",0.249973,0.249973,0.220987,0.225033,"1,394,980","89,890,300"
"Feb 20, 2018",0.278592,0.284330,0.248208,0.250374,"1,752,880","100,182,000"
"Feb 19, 2018",0.280615,0.305339,0.274146,0.278562,"3,980,870","100,909,000"
"Feb 18, 2018",0.260565,0.335093,0.257809,0.285343,"17,457,400","93,699,000"
"Feb 17, 2018",0.237209,0.260689,0.233218,0.259926,"1,468,950","85,300,200"
"Feb 16, 2018",0.231547,0.241012,0.225401,0.237178,"1,058,290","83,264,300"
"Feb 15, 2018",0.228383,0.232799,0.218964,0.232013,"910,692","82,126,600"
"Feb 14, 2018",0.213986,0.231065,0.212539,0.228960,"1,021,110","76,949,300"
"Feb 13, 2018",0.226448,0.227830,0.211904,0.214709,"865,014","81,430,600"
"Feb 12, 2018",0.214033,0.233839,0.214033,0.226944,"1,208,210","76,966,300"
"Feb 11, 2018",0.228656,0.228656,0.206774,0.211986,"1,243,770","82,224,600"
"Feb 10, 2018",0.232392,0.253972,0.220376,0.228382,"2,191,940","83,568,100"
"Feb 09, 2018",0.211883,0.232712,0.199856,0.232441,"828,119","76,193,200"
