Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.909004,0.911767,0.781027,0.852071,"2,313,200","41,130,600"
"Mar 22, 2018",0.844926,0.931072,0.816273,0.914001,"4,478,380","38,231,300"
"Mar 21, 2018",0.845619,0.987382,0.831832,0.845397,"2,399,300","38,262,600"
"Mar 20, 2018",0.730240,0.869750,0.717750,0.852399,"2,328,260","33,041,900"
"Mar 19, 2018",0.701561,0.740882,0.666323,0.720614,"784,796","31,744,300"
"Mar 18, 2018",0.731478,0.731924,0.564118,0.702384,"1,188,240","33,097,900"
"Mar 17, 2018",0.773704,0.856965,0.720632,0.736423,"1,913,030","35,008,600"
"Mar 16, 2018",0.766908,0.806466,0.729625,0.774581,"559,949","34,701,100"
"Mar 15, 2018",0.813869,0.820599,0.737057,0.765050,"1,000,540","36,826,000"
"Mar 14, 2018",0.933827,0.975853,0.787400,0.811309,"1,096,100","42,253,900"
"Mar 13, 2018",0.947684,0.987913,0.910604,0.933105,"912,859","42,880,800"
"Mar 12, 2018",1.02,1.04,0.924553,0.952414,"798,925","46,029,300"
"Mar 11, 2018",0.942295,1.05,0.901371,1.02,"1,482,550","42,637,000"
"Mar 10, 2018",1.02,1.09,0.938039,0.945067,"1,607,480","46,089,700"
"Mar 09, 2018",0.933616,1.02,0.816119,1.01,"1,488,870","42,244,300"
"Mar 08, 2018",1.07,1.11,0.931288,0.939425,"1,232,560","48,235,300"
"Mar 07, 2018",1.22,1.28,0.957793,1.07,"2,201,970","55,237,100"
"Mar 06, 2018",1.35,1.38,1.21,1.21,"1,096,490","60,986,900"
"Mar 05, 2018",1.44,1.45,1.36,1.36,"1,737,460","64,978,700"
"Mar 04, 2018",1.45,1.52,1.40,1.44,"1,186,140","65,772,800"
"Mar 03, 2018",1.46,1.53,1.42,1.45,"1,392,060","66,269,800"
"Mar 02, 2018",1.41,1.54,1.36,1.47,"2,745,890","63,980,100"
"Mar 01, 2018",1.32,1.45,1.26,1.41,"1,394,900","59,645,900"
"Feb 28, 2018",1.40,1.44,1.28,1.32,"1,660,120","63,232,400"
"Feb 27, 2018",1.47,1.55,1.37,1.40,"1,868,740","66,523,600"
"Feb 26, 2018",1.46,1.53,1.38,1.47,"1,902,540","66,175,800"
"Feb 25, 2018",1.49,1.65,1.42,1.46,"1,322,730","67,537,900"
"Feb 24, 2018",1.53,1.59,1.42,1.50,"872,123","69,099,600"
"Feb 23, 2018",1.37,1.69,1.35,1.53,"3,458,040","62,077,000"
"Feb 22, 2018",1.48,1.62,1.36,1.37,"1,349,060","67,054,100"
