Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.002179,0.002200,0.001875,0.001929,"57,832","16,922,300"
"Mar 28, 2018",0.002181,0.002356,0.002116,0.002150,"105,183","16,944,500"
"Mar 27, 2018",0.002331,0.002385,0.002085,0.002144,"79,123","18,103,000"
"Mar 26, 2018",0.002394,0.002405,0.002089,0.002333,"112,043","18,595,500"
"Mar 25, 2018",0.002312,0.002460,0.002209,0.002397,"130,446","17,961,600"
"Mar 24, 2018",0.002558,0.002562,0.002214,0.002344,"162,357","19,867,900"
"Mar 23, 2018",0.002714,0.002768,0.002185,0.002505,"221,448","17,859,500"
"Mar 22, 2018",0.002878,0.003000,0.002628,0.002714,"131,927","18,939,900"
"Mar 21, 2018",0.003078,0.003356,0.002812,0.002884,"240,410","15,071,200"
"Mar 20, 2018",0.003509,0.003531,0.002899,0.003006,"289,259","16,663,300"
"Mar 19, 2018",0.003363,0.003634,0.003226,0.003500,"257,943","15,972,300"
"Mar 18, 2018",0.003530,0.003540,0.002850,0.003404,"337,802","16,766,100"
"Mar 17, 2018",0.004112,0.004231,0.003488,0.003572,"414,094","19,528,000"
"Mar 16, 2018",0.002985,0.004473,0.002743,0.004122,"1,154,100",-
"Mar 15, 2018",0.002841,0.003144,0.002033,0.003039,"350,735",-
"Mar 14, 2018",0.003286,0.003518,0.002821,0.002821,"271,889",-
