Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.573351,0.736262,0.571819,0.616218,"4,505,580","14,339,100"
"Mar 24, 2018",0.567875,0.607301,0.554363,0.578947,"622,408","14,202,100"
"Mar 23, 2018",0.542824,0.576195,0.513266,0.561186,"1,189,520","13,575,600"
"Mar 22, 2018",0.576982,0.589706,0.513253,0.542393,"508,727","14,429,900"
"Mar 21, 2018",0.575943,0.606936,0.565963,0.576931,"594,750","14,403,900"
"Mar 20, 2018",0.517650,0.625991,0.499773,0.575217,"2,371,860","12,946,000"
"Mar 19, 2018",0.469769,0.526178,0.465924,0.513014,"633,128","11,748,600"
"Mar 18, 2018",0.472110,0.479464,0.400226,0.471024,"328,667","11,807,100"
"Mar 17, 2018",0.534251,0.534251,0.469766,0.473389,"343,817","13,361,200"
"Mar 16, 2018",0.536844,0.554298,0.513598,0.534962,"346,913","13,426,100"
"Mar 15, 2018",0.557564,0.562255,0.484861,0.535281,"624,708","13,944,300"
"Mar 14, 2018",0.649976,0.670084,0.544202,0.556126,"394,783","16,255,400"
"Mar 13, 2018",0.683053,0.708487,0.631562,0.650462,"524,864","17,082,700"
"Mar 12, 2018",0.672409,0.796020,0.650879,0.686472,"1,517,390","16,816,400"
"Mar 11, 2018",0.604303,0.779302,0.582070,0.673983,"1,842,240","15,113,200"
"Mar 10, 2018",0.639944,0.694248,0.602116,0.605567,"513,680","16,004,500"
"Mar 09, 2018",0.665583,0.672032,0.573477,0.640162,"667,847","16,645,700"
"Mar 08, 2018",0.682091,0.722018,0.622352,0.669394,"1,047,560","17,058,600"
"Mar 07, 2018",0.834183,0.904440,0.654736,0.682531,"2,170,120","20,862,300"
"Mar 06, 2018",0.906667,0.906667,0.824813,0.832972,"425,658","22,675,100"
"Mar 05, 2018",0.914093,0.928260,0.908184,0.910726,"541,584","22,860,800"
"Mar 04, 2018",0.917265,0.941806,0.880393,0.911530,"783,550","22,940,100"
"Mar 03, 2018",0.869638,0.993418,0.869638,0.916942,"1,670,890","21,749,000"
"Mar 02, 2018",0.877362,0.904890,0.840421,0.873463,"744,263","21,942,200"
"Mar 01, 2018",0.864583,0.929136,0.842020,0.880732,"1,062,310","21,622,600"
"Feb 28, 2018",1.04,1.05,0.860622,0.862909,"4,756,580","26,062,000"
"Feb 27, 2018",0.772708,1.12,0.760669,1.06,"11,165,100","19,324,800"
"Feb 26, 2018",0.742570,0.830515,0.716852,0.766809,"899,055","18,571,100"
