Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.216331,0.219409,0.200461,0.210235,"5,249,860","99,722,700"
"Mar 22, 2018",0.207180,0.246145,0.203798,0.213130,"6,075,370","95,630,400"
"Mar 21, 2018",0.197963,0.217507,0.195072,0.207593,"5,306,530","91,375,900"
"Mar 20, 2018",0.190792,0.210541,0.182553,0.198355,"5,436,950","88,065,700"
"Mar 19, 2018",0.168451,0.192455,0.155159,0.187098,"5,014,330","77,753,600"
"Mar 18, 2018",0.177563,0.179199,0.134528,0.174166,"6,350,890","81,959,900"
"Mar 17, 2018",0.198610,0.205515,0.175256,0.178292,"5,341,590","91,674,800"
"Mar 16, 2018",0.196314,0.210370,0.185409,0.198936,"5,149,320","90,614,900"
"Mar 15, 2018",0.192578,0.198267,0.180394,0.195214,"5,734,260","88,890,500"
"Mar 14, 2018",0.216657,0.227532,0.187276,0.196816,"5,381,010","100,005,000"
"Mar 13, 2018",0.224239,0.236941,0.207750,0.219371,"5,187,160","102,383,000"
"Mar 12, 2018",0.245590,0.255926,0.211903,0.228505,"10,534,600","112,132,000"
"Mar 11, 2018",0.221139,0.251586,0.208605,0.241001,"3,716,940","100,968,000"
"Mar 10, 2018",0.234430,0.252359,0.216882,0.218565,"3,901,530","107,036,000"
"Mar 09, 2018",0.224407,0.237989,0.197292,0.236773,"6,099,310","102,460,000"
"Mar 08, 2018",0.254589,0.268147,0.215569,0.225476,"5,770,110","76,376,700"
"Mar 07, 2018",0.302074,0.311686,0.251232,0.255555,"4,990,130","90,622,200"
"Mar 06, 2018",0.351916,0.353906,0.300303,0.307704,"5,635,930","105,575,000"
"Mar 05, 2018",0.354443,0.363065,0.343372,0.355343,"6,031,880","106,333,000"
"Mar 04, 2018",0.364051,0.378455,0.336812,0.352738,"6,005,580","109,215,000"
"Mar 03, 2018",0.361464,0.391563,0.357005,0.367550,"6,088,130","108,439,000"
"Mar 02, 2018",0.382969,0.388283,0.349142,0.362737,"6,246,630","114,891,000"
"Mar 01, 2018",0.365925,0.388995,0.356646,0.382363,"6,068,230","109,778,000"
"Feb 28, 2018",0.396342,0.405733,0.363202,0.363202,"6,609,080","118,903,000"
"Feb 27, 2018",0.388683,0.405895,0.382718,0.396561,"6,124,600","116,605,000"
"Feb 26, 2018",0.347556,0.393084,0.335936,0.388253,"7,258,180","104,267,000"
"Feb 25, 2018",0.363541,0.373042,0.326100,0.352384,"6,180,850","109,062,000"
"Feb 24, 2018",0.389367,0.400195,0.328688,0.355418,"6,861,470","116,810,000"
"Feb 23, 2018",0.386667,0.397377,0.356438,0.388647,"10,002,300","116,000,000"
"Feb 22, 2018",0.417164,0.441512,0.373375,0.381500,"8,363,000","125,149,000"
