Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",10.81,10.90,10.04,10.54,"302,531","83,573,000"
"Mar 23, 2018",10.70,10.97,9.39,10.69,"436,393","82,730,400"
"Mar 22, 2018",11.19,14.18,10.00,10.70,"261,226","86,486,200"
"Mar 21, 2018",10.50,12.33,9.38,11.19,"422,205","81,172,600"
"Mar 20, 2018",10.01,10.77,9.37,10.48,"373,078","77,404,000"
"Mar 19, 2018",9.16,9.99,8.76,9.96,"260,877","70,838,400"
"Mar 18, 2018",9.48,9.84,7.89,9.17,"332,560","73,296,600"
"Mar 17, 2018",11.97,11.97,7.50,9.45,"441,030","92,533,000"
"Mar 16, 2018",10.64,12.01,9.18,12.01,"315,802","82,237,600"
"Mar 15, 2018",10.51,10.65,9.13,10.65,"592,448","81,233,900"
"Mar 14, 2018",11.44,12.78,9.96,10.50,"438,147","88,458,200"
"Mar 13, 2018",11.66,12.70,9.82,11.46,"408,610","90,073,800"
"Mar 12, 2018",11.15,12.39,11.15,11.69,"697,833","86,069,600"
"Mar 11, 2018",10.90,11.94,10.36,11.18,"517,776","83,731,800"
"Mar 10, 2018",12.09,12.57,10.87,10.97,"834,476","92,820,600"
"Mar 09, 2018",11.75,12.42,10.46,12.10,"574,918","90,245,300"
"Mar 08, 2018",13.14,13.36,11.46,11.81,"397,143","100,918,000"
"Mar 07, 2018",14.77,14.80,12.79,13.16,"957,383","113,101,000"
"Mar 06, 2018",13.71,16.12,13.71,14.78,"940,929","105,009,000"
"Mar 05, 2018",15.65,16.25,13.71,13.71,"588,876","119,830,000"
"Mar 04, 2018",15.69,15.88,13.75,15.65,"641,943","120,106,000"
"Mar 03, 2018",14.77,16.16,14.57,15.70,"539,404","113,091,000"
"Mar 02, 2018",19.36,19.37,13.66,14.89,"859,049","148,047,000"
"Mar 01, 2018",15.51,19.65,14.78,19.50,"861,946","115,623,000"
"Feb 28, 2018",17.36,17.79,15.24,15.24,"422,073","129,409,000"
"Feb 27, 2018",16.67,17.77,16.40,17.33,"618,789","124,291,000"
"Feb 26, 2018",15.69,17.25,15.16,16.65,"510,709","116,970,000"
"Feb 25, 2018",15.93,16.39,15.27,15.69,"463,992","118,738,000"
"Feb 24, 2018",17.05,17.52,15.21,15.95,"689,805","127,068,000"
