Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.207560,0.210094,0.180017,0.181105,"698,574","13,501,200"
"Mar 28, 2018",0.207514,0.214777,0.204310,0.207219,"1,272,930","13,498,200"
"Mar 27, 2018",0.225564,0.227046,0.206069,0.207469,"1,580,300","14,672,300"
"Mar 26, 2018",0.250440,0.253354,0.215836,0.225724,"988,563","16,290,400"
"Mar 25, 2018",0.248829,0.259654,0.246001,0.251640,"923,354","16,185,600"
"Mar 24, 2018",0.242839,0.267208,0.237409,0.250017,"1,335,990","15,796,000"
"Mar 23, 2018",0.255637,0.260047,0.230623,0.240364,"621,552","16,628,500"
"Mar 22, 2018",0.271419,0.279806,0.251656,0.255614,"1,172,370","17,655,000"
"Mar 21, 2018",0.273387,0.288857,0.266920,0.271300,"1,108,480","17,783,000"
"Mar 20, 2018",0.272557,0.277086,0.250785,0.269973,"1,345,590","17,729,100"
"Mar 19, 2018",0.265123,0.275255,0.251869,0.269410,"845,421","17,245,500"
"Mar 18, 2018",0.272328,0.273401,0.211133,0.264783,"1,013,730","17,714,200"
"Mar 17, 2018",0.302100,0.304660,0.267828,0.273081,"849,619","19,650,700"
"Mar 16, 2018",0.306055,0.314675,0.293728,0.300638,"672,463","19,908,000"
"Mar 15, 2018",0.318670,0.318670,0.281392,0.306437,"898,405","20,728,600"
"Mar 14, 2018",0.351722,0.359655,0.305928,0.318257,"1,397,920","22,878,500"
"Mar 13, 2018",0.360841,0.362844,0.345176,0.351350,"981,417","23,471,700"
"Mar 12, 2018",0.378235,0.383117,0.346894,0.361435,"793,127","24,603,100"
"Mar 11, 2018",0.352826,0.381531,0.336083,0.376294,"961,578","22,950,400"
"Mar 10, 2018",0.379106,0.400997,0.326360,0.353898,"1,396,350","24,659,800"
"Mar 09, 2018",0.404297,0.407849,0.355400,0.379264,"1,519,490","26,298,400"
"Mar 08, 2018",0.450338,0.450338,0.402606,0.405261,"1,133,950","29,237,600"
"Mar 07, 2018",0.491994,0.506592,0.397880,0.439783,"1,569,630","31,942,100"
"Mar 06, 2018",0.500998,0.558267,0.487685,0.489773,"767,937","32,452,200"
"Mar 05, 2018",0.586350,0.592910,0.498161,0.501107,"676,065","37,980,900"
"Mar 04, 2018",0.592876,0.593925,0.569246,0.587117,"699,878","38,441,100"
"Mar 03, 2018",0.587446,0.637175,0.554495,0.576918,"2,364,700","38,091,200"
"Mar 02, 2018",0.601244,0.635564,0.567744,0.576233,"2,404,310","39,005,100"
"Mar 01, 2018",0.579634,0.611057,0.574950,0.606056,"1,055,080","37,593,000"
"Feb 28, 2018",0.592292,0.602611,0.576952,0.581085,"818,339","38,416,900"
"Feb 27, 2018",0.605365,0.628423,0.583024,0.590968,"767,993","39,321,000"
