Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",2.22,2.25,1.66,1.72,"5,209,480","37,853,900"
"Mar 28, 2018",2.81,2.86,2.14,2.25,"7,482,780","47,915,600"
"Mar 27, 2018",2.38,3.24,2.19,2.77,"11,403,800","40,558,600"
"Mar 26, 2018",1.92,2.38,1.69,2.38,"14,896,600","32,645,700"
"Mar 25, 2018",1.32,1.92,1.32,1.88,"4,583,850","22,528,300"
"Mar 24, 2018",1.24,1.39,1.23,1.34,"2,700,660","21,033,400"
"Mar 23, 2018",1.14,1.23,1.09,1.23,"1,300,210","19,404,400"
"Mar 22, 2018",1.21,1.24,1.09,1.14,"2,464,520","20,529,600"
"Mar 21, 2018",1.29,1.38,1.19,1.21,"2,863,780","21,941,800"
"Mar 20, 2018",1.24,1.29,1.18,1.29,"3,583,990","21,052,300"
"Mar 19, 2018",1.19,1.27,1.16,1.23,"1,771,340","20,311,200"
"Mar 18, 2018",1.12,1.20,1.05,1.20,"228,023","19,128,600"
"Mar 17, 2018",1.26,1.26,1.10,1.13,"3,115,720","21,393,100"
"Mar 16, 2018",1.27,1.31,1.17,1.27,"3,894,960","21,577,800"
"Mar 15, 2018",1.31,1.33,1.18,1.27,"3,419,300","22,233,800"
"Mar 14, 2018",1.47,1.50,1.28,1.31,"3,156,310","25,001,200"
"Mar 13, 2018",1.50,1.57,1.41,1.47,"2,685,740","25,562,100"
"Mar 12, 2018",1.66,1.67,1.41,1.51,"2,650,660","28,197,500"
"Mar 11, 2018",1.44,1.69,1.44,1.66,"2,233,720","24,491,200"
"Mar 10, 2018",1.58,1.63,1.40,1.44,"369,078","26,856,400"
"Mar 09, 2018",1.58,1.61,1.41,1.58,"1,259,780","26,866,200"
"Mar 08, 2018",1.76,1.79,1.57,1.59,"2,257,400","29,936,000"
"Mar 07, 2018",1.72,1.97,1.51,1.76,"3,583,860","29,339,100"
"Mar 06, 2018",1.38,1.91,1.32,1.72,"1,585,450","23,450,200"
"Mar 05, 2018",1.37,1.39,1.27,1.38,"2,302,080","23,279,200"
"Mar 04, 2018",1.30,1.42,1.25,1.37,"2,427,150","22,216,800"
"Mar 03, 2018",1.29,1.36,1.25,1.31,"1,710,570","22,049,100"
"Mar 02, 2018",1.16,1.31,1.10,1.31,"1,361,620","19,787,500"
"Mar 01, 2018",0.693895,1.20,0.616185,1.16,"1,892,420","11,816,600"
"Feb 28, 2018",1.29,1.72,0.720934,0.755481,"772,823","22,027,000"
"Feb 27, 2018",1.26,1.35,1.22,1.29,"422,874","21,517,000"
"Feb 26, 2018",1.13,1.32,1.10,1.26,"945,586","19,160,600"
"Feb 25, 2018",1.48,1.48,1.10,1.12,"883,451","25,121,300"
"Feb 24, 2018",1.39,1.42,1.08,1.17,"1,812,510","23,647,000"
"Feb 23, 2018",1.34,1.42,1.22,1.39,"476,861","22,832,400"
"Feb 22, 2018",1.37,1.63,1.23,1.34,"1,677,190","23,246,700"
"Feb 21, 2018",1.47,1.47,1.34,1.37,"271,864","24,993,100"
"Feb 20, 2018",1.56,1.62,1.41,1.47,"314,810","26,585,100"
"Feb 19, 2018",1.45,1.57,1.34,1.56,"1,316,840","24,704,800"
"Feb 18, 2018",1.62,1.73,1.45,1.46,"721,944","27,502,800"
"Feb 17, 2018",1.53,1.70,1.50,1.61,"3,166,200","25,970,400"
"Feb 16, 2018",1.56,1.62,1.45,1.62,"1,157,810","26,507,100"
"Feb 15, 2018",1.53,1.57,1.44,1.57,"2,332,540","26,088,500"
"Feb 14, 2018",1.43,1.57,1.41,1.52,"1,443,250","24,297,400"
"Feb 13, 2018",1.56,1.57,1.38,1.44,"629,962","26,579,200"
"Feb 12, 2018",1.62,1.68,1.51,1.57,"3,281,420","27,519,300"
"Feb 11, 2018",1.61,1.64,1.45,1.53,"950,928","27,453,900"
"Feb 10, 2018",1.57,1.72,1.53,1.61,"1,858,980","26,713,000"
"Feb 09, 2018",1.45,1.59,1.29,1.57,"4,061,390","24,710,400"
"Feb 08, 2018",1.27,1.52,1.27,1.45,"54,213","21,652,600"
"Feb 07, 2018",1.31,1.47,1.20,1.29,"199,877","22,337,000"
"Feb 06, 2018",1.18,1.41,0.911951,1.39,"1,449,010","20,025,700"
"Feb 05, 2018",1.46,1.47,1.13,1.17,"131,516","24,795,600"
