Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.026576,0.029543,0.023041,0.025274,"261,996","10,684,800"
"Mar 25, 2018",0.023480,0.026709,0.022515,0.026627,"267,587","9,439,980"
"Mar 24, 2018",0.023597,0.024397,0.022565,0.023765,"268,822","9,486,950"
"Mar 23, 2018",0.021249,0.023381,0.020184,0.023381,"446,315","8,543,210"
"Mar 22, 2018",0.019409,0.022817,0.019409,0.021253,"155,715","7,803,320"
"Mar 21, 2018",0.019452,0.022407,0.017970,0.019302,"84,020",-
"Mar 20, 2018",0.019924,0.019924,0.016206,0.019333,"52,140",-
"Mar 19, 2018",0.016883,0.019902,0.016487,0.019766,"61,465",-
"Mar 18, 2018",0.017845,0.017948,0.013299,0.016951,"88,129",-
"Mar 17, 2018",0.021480,0.021722,0.017481,0.017861,"70,950",-
"Mar 16, 2018",0.022275,0.023781,0.021109,0.021466,"56,434",-
"Mar 15, 2018",0.023651,0.023807,0.021035,0.022301,"96,580",-
"Mar 14, 2018",0.028485,0.028904,0.022712,0.023634,"196,837",-
"Mar 13, 2018",0.029337,0.029850,0.027312,0.028372,"154,119",-
"Mar 12, 2018",0.028903,0.032798,0.027622,0.029368,"585,775",-
"Mar 11, 2018",0.027079,0.029187,0.025576,0.027947,"451,621",-
"Mar 10, 2018",0.028591,0.028591,0.026987,0.027621,"302,268",-
