Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",5.63,5.63,5.14,5.25,"525,086","20,145,400"
"Mar 22, 2018",6.15,6.23,5.57,5.60,"665,396","21,942,100"
"Mar 21, 2018",6.45,6.62,6.06,6.15,"776,645","22,981,500"
"Mar 20, 2018",6.31,6.70,6.06,6.43,"688,769","22,418,600"
"Mar 19, 2018",6.07,6.70,5.95,6.22,"775,520","21,545,700"
"Mar 18, 2018",6.01,6.20,5.27,6.13,"776,310","21,284,600"
"Mar 17, 2018",7.08,7.08,5.76,6.07,"610,767","25,005,700"
"Mar 16, 2018",6.82,7.33,6.50,7.03,"571,706","24,028,100"
"Mar 15, 2018",7.16,7.64,6.45,6.78,"1,290,510","25,195,600"
"Mar 14, 2018",7.48,9.39,6.98,7.15,"3,470,470","26,249,600"
"Mar 13, 2018",8.35,8.50,7.31,7.47,"1,884,100","29,242,900"
"Mar 12, 2018",9.77,10.06,8.13,8.39,"2,329,270","34,172,500"
"Mar 11, 2018",9.77,10.37,9.09,9.73,"1,643,930","34,092,000"
"Mar 10, 2018",9.58,11.59,9.30,9.71,"3,131,160","33,355,700"
"Mar 09, 2018",11.11,11.54,8.41,9.64,"6,450,480","38,598,100"
"Mar 08, 2018",14.13,15.60,10.36,11.34,"13,369,600","48,996,300"
"Mar 07, 2018",12.06,21.41,11.93,13.74,"46,283,000","41,724,500"
"Mar 06, 2018",7.66,14.77,7.16,12.33,"19,093,700","26,457,300"
"Mar 05, 2018",9.48,9.48,7.31,7.63,"3,620,180","32,682,600"
"Mar 04, 2018",11.21,11.63,8.81,9.57,"3,739,090","38,565,600"
"Mar 03, 2018",10.78,12.74,10.73,11.18,"3,709,950","36,999,100"
"Mar 02, 2018",13.56,13.92,9.60,10.93,"13,948,000","46,451,000"
"Mar 01, 2018",29.77,29.98,13.52,14.03,"19,842,600","101,739,000"
"Feb 28, 2018",93.00,122.73,26.83,30.09,"108,100,000","317,132,000"
"Feb 27, 2018",106.16,106.16,67.45,93.16,"80,867,400","361,244,000"
"Feb 26, 2018",124.28,127.34,90.97,103.75,"36,590,000","421,981,000"
"Feb 25, 2018",121.30,137.27,118.19,123.97,"17,916,200","411,009,000"
"Feb 24, 2018",136.13,138.48,98.93,122.12,"41,234,700","460,284,000"
"Feb 23, 2018",132.91,146.37,126.05,136.25,"12,156,000","447,179,000"
"Feb 22, 2018",138.16,159.96,124.87,129.94,"18,411,000","464,851,000"
