Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.074466,0.077989,0.066962,0.077302,"31,783","88,556,800"
"Mar 22, 2018",0.075703,0.079164,0.070877,0.074472,"8,303","90,027,700"
"Mar 21, 2018",0.074054,0.080818,0.071072,0.075737,"41,728","88,067,700"
"Mar 20, 2018",0.072247,0.075116,0.067351,0.073736,"49,148","85,917,800"
"Mar 19, 2018",0.069702,0.076074,0.066530,0.071560,"58,326","82,891,800"
"Mar 18, 2018",0.068298,0.071313,0.061225,0.069991,"56,347","81,222,500"
"Mar 17, 2018",0.070033,0.071340,0.066286,0.068417,"24,326","83,284,800"
"Mar 16, 2018",0.073196,0.074955,0.069002,0.069942,"29,619","87,047,200"
"Mar 15, 2018",0.072153,0.075078,0.063847,0.073256,"49,058","85,806,000"
"Mar 14, 2018",0.072679,0.083580,0.067977,0.072138,"43,520","86,431,700"
"Mar 13, 2018",0.069433,0.079216,0.065834,0.072654,"48,736","82,571,400"
"Mar 12, 2018",0.072385,0.073945,0.065875,0.069210,"39,253","86,081,900"
"Mar 11, 2018",0.064726,0.073711,0.062908,0.072528,"14,916","76,974,200"
"Mar 10, 2018",0.072878,0.074537,0.067260,0.068465,"44,747","86,668,400"
"Mar 09, 2018",0.070577,0.073114,0.062993,0.072899,"20,806","83,931,800"
"Mar 08, 2018",0.075569,0.077940,0.069901,0.070755,"40,755","89,869,200"
"Mar 07, 2018",0.087910,0.089300,0.072248,0.075683,"45,318","104,545,000"
"Mar 06, 2018",0.088938,0.088938,0.078479,0.087866,"34,597","105,767,000"
"Mar 05, 2018",0.082928,0.094590,0.082168,0.089058,"33,919","98,620,600"
"Mar 04, 2018",0.085173,0.087907,0.082678,0.082958,"33,622","101,290,000"
"Mar 03, 2018",0.086344,0.088431,0.084495,0.084823,"46,568","102,683,000"
"Mar 02, 2018",0.079755,0.102633,0.079755,0.086431,"130,389","94,613,900"
"Mar 01, 2018",0.074185,0.087824,0.064048,0.085965,"110,013","88,006,400"
"Feb 28, 2018",0.079707,0.082862,0.069374,0.074135,"74,749","94,557,800"
"Feb 27, 2018",0.085009,0.091759,0.079739,0.079739,"95,175","100,847,000"
"Feb 26, 2018",0.077037,0.089956,0.076499,0.084769,"49,624","91,389,800"
"Feb 25, 2018",0.076931,0.084903,0.076325,0.076962,"26,522","91,263,600"
"Feb 24, 2018",0.090283,0.091282,0.076987,0.077087,"58,612","107,103,000"
"Feb 23, 2018",0.087470,0.092699,0.085241,0.090482,"78,963","103,766,000"
"Feb 22, 2018",0.084672,0.090737,0.079096,0.087569,"80,847","100,447,000"
