Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",1.20,1.21,0.960105,0.995804,"618,226","15,627,200"
"Mar 28, 2018",1.17,1.25,1.16,1.20,"915,203","15,159,400"
"Mar 27, 2018",1.24,1.25,1.16,1.17,"501,904","16,092,300"
"Mar 26, 2018",1.33,1.36,1.17,1.24,"1,286,470","17,303,500"
"Mar 25, 2018",1.28,1.40,1.28,1.34,"1,387,350","16,704,200"
"Mar 24, 2018",1.34,1.42,1.30,1.30,"1,578,800","17,467,200"
"Mar 23, 2018",1.37,1.37,1.23,1.35,"1,391,380","17,861,100"
"Mar 22, 2018",1.39,1.46,1.28,1.37,"998,146","18,098,100"
"Mar 21, 2018",1.42,1.54,1.36,1.39,"1,478,360","18,502,200"
"Mar 20, 2018",1.36,1.43,1.28,1.42,"1,057,390","17,630,700"
"Mar 19, 2018",1.18,1.45,1.17,1.35,"1,523,330","15,288,900"
"Mar 18, 2018",1.20,1.22,0.985424,1.19,"851,814","15,664,400"
"Mar 17, 2018",1.36,1.37,1.16,1.21,"551,172","17,710,900"
"Mar 16, 2018",1.37,1.45,1.30,1.36,"603,817","17,778,700"
"Mar 15, 2018",1.38,1.45,1.25,1.37,"1,257,730","17,906,800"
"Mar 14, 2018",1.62,1.63,1.29,1.37,"884,986","21,091,000"
"Mar 13, 2018",1.64,1.74,1.58,1.60,"1,051,390","21,370,300"
"Mar 12, 2018",1.76,1.89,1.59,1.65,"1,207,500","22,903,800"
"Mar 11, 2018",1.57,1.81,1.49,1.77,"1,232,990","20,409,300"
"Mar 10, 2018",1.70,1.83,1.55,1.57,"1,083,370","22,069,400"
"Mar 09, 2018",1.69,1.73,1.43,1.72,"1,369,870","21,982,800"
"Mar 08, 2018",1.82,1.98,1.69,1.70,"1,852,870","23,605,400"
"Mar 07, 2018",2.06,2.13,1.60,1.83,"2,378,450","26,723,000"
"Mar 06, 2018",2.25,2.30,2.03,2.07,"2,025,630","29,308,300"
"Mar 05, 2018",2.33,2.51,2.25,2.25,"3,148,990","30,273,200"
"Mar 04, 2018",2.27,2.48,2.14,2.35,"3,604,360","29,453,400"
"Mar 03, 2018",2.44,2.51,2.21,2.27,"2,453,710","31,660,400"
"Mar 02, 2018",2.41,2.49,2.36,2.43,"3,248,280","31,390,500"
"Mar 01, 2018",2.19,2.55,2.16,2.42,"5,664,590","28,521,800"
"Feb 28, 2018",2.58,2.70,2.16,2.19,"5,852,330","33,533,000"
"Feb 27, 2018",2.69,3.00,2.55,2.57,"13,286,700","34,975,100"
"Feb 26, 2018",2.29,2.85,2.25,2.67,"21,887,800","29,780,000"
"Feb 25, 2018",2.20,2.42,2.08,2.30,"13,573,900","28,605,400"
"Feb 24, 2018",2.00,2.28,1.91,2.21,"8,454,640","25,963,300"
"Feb 23, 2018",1.97,2.07,1.89,2.00,"1,887,970","25,643,300"
"Feb 22, 2018",2.03,2.22,1.81,1.97,"3,491,350","26,368,400"
"Feb 21, 2018",2.24,2.25,1.92,2.04,"3,215,890","29,087,300"
"Feb 20, 2018",2.51,2.76,2.24,2.25,"13,268,400","32,625,400"
"Feb 19, 2018",2.08,2.81,2.07,2.52,"32,476,700","26,993,500"
"Feb 18, 2018",2.04,2.25,1.84,2.09,"5,390,970","26,480,400"
"Feb 17, 2018",1.97,2.08,1.94,2.04,"1,760,760","25,658,700"
"Feb 16, 2018",1.89,2.10,1.79,1.99,"2,710,290","24,524,000"
"Feb 15, 2018",1.71,1.96,1.68,1.89,"2,270,510","22,238,000"
"Feb 14, 2018",1.61,1.72,1.59,1.71,"1,226,910","20,959,300"
"Feb 13, 2018",1.77,1.79,1.56,1.62,"1,753,090","22,954,500"
"Feb 12, 2018",1.52,1.90,1.51,1.75,"3,170,790","19,717,800"
"Feb 11, 2018",1.62,1.62,1.40,1.52,"819,548","21,002,100"
"Feb 10, 2018",1.60,1.88,1.55,1.61,"895,655","20,775,400"
"Feb 09, 2018",1.68,1.78,1.56,1.60,"28,339","21,897,700"
"Feb 08, 2018",1.51,1.75,1.51,1.68,"2,158,540","19,651,600"
"Feb 07, 2018",1.51,1.88,1.35,1.52,"1,977,320","19,650,200"
"Feb 06, 2018",1.34,1.55,1.01,1.53,"1,209,430","17,368,400"
"Feb 05, 2018",1.65,1.68,1.14,1.34,"994,683","21,423,600"
"Feb 04, 2018",2.04,2.08,1.53,1.67,"1,162,060","26,557,900"
"Feb 03, 2018",1.81,2.14,1.67,2.06,"1,664,160","23,523,500"
"Feb 02, 2018",1.99,2.02,1.32,1.81,"1,594,040","25,918,600"
"Feb 01, 2018",2.50,2.56,1.81,2.01,"1,805,960","32,551,900"
