Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.372621,0.388756,0.353730,0.382480,"70,747","64,530,900"
"Mar 22, 2018",0.398715,0.422295,0.356917,0.373718,"123,444","69,045,300"
"Mar 21, 2018",0.366429,0.423354,0.361738,0.398935,"240,266","63,450,200"
"Mar 20, 2018",0.358047,0.382511,0.336519,0.365664,"93,045","61,994,600"
"Mar 19, 2018",0.318509,0.356846,0.314448,0.354188,"145,762","55,145,200"
"Mar 18, 2018",0.322818,0.329819,0.280916,0.319847,"42,716","55,887,100"
"Mar 17, 2018",0.356592,0.356592,0.315322,0.323609,"88,381","61,730,100"
"Mar 16, 2018",0.367367,0.376156,0.322859,0.356088,"123,153","63,590,900"
"Mar 15, 2018",0.358684,0.411631,0.253035,0.367032,"536,753","62,083,500"
"Mar 14, 2018",0.393293,0.413716,0.341338,0.358797,"90,068","68,069,200"
"Mar 13, 2018",0.412600,0.428002,0.371813,0.393237,"500,510","71,405,700"
"Mar 12, 2018",0.484811,0.492533,0.393508,0.415030,"288,763","83,896,800"
"Mar 11, 2018",0.458511,0.530209,0.375900,0.486408,"365,475","79,340,500"
"Mar 10, 2018",0.561371,0.617220,0.394390,0.464794,"592,741","97,133,300"
"Mar 09, 2018",0.610749,0.788522,0.479937,0.560683,"1,899,720","105,671,000"
"Mar 08, 2018",0.587315,0.606252,0.312197,0.606252,"726,332","101,610,000"
"Mar 07, 2018",0.584597,0.622810,0.520404,0.584890,"224,799","101,134,000"
"Mar 06, 2018",0.589111,0.607221,0.560468,0.581216,"171,489","101,909,000"
"Mar 05, 2018",0.616056,0.630751,0.560733,0.590677,"177,317","106,563,000"
"Mar 04, 2018",0.635414,0.652647,0.576908,0.616500,"242,508","109,904,000"
"Mar 03, 2018",0.611463,0.636492,0.573738,0.636492,"161,284","105,755,000"
"Mar 02, 2018",0.672359,0.704834,0.554621,0.612201,"206,645","116,280,000"
"Mar 01, 2018",0.658762,0.713216,0.653864,0.673231,"204,626","113,921,000"
"Feb 28, 2018",0.652378,0.722005,0.536247,0.657842,"465,336","112,809,000"
"Feb 27, 2018",0.791854,0.798836,0.645958,0.646169,"693,618","136,920,000"
"Feb 26, 2018",0.545246,1.11,0.543543,0.816322,"1,539,360","94,273,600"
"Feb 25, 2018",0.539730,0.602609,0.504102,0.543645,"202,895","93,315,300"
"Feb 24, 2018",0.523614,0.615616,0.495830,0.540568,"325,894","90,524,100"
"Feb 23, 2018",0.435264,0.592354,0.411073,0.524265,"439,490","75,244,800"
"Feb 22, 2018",0.467429,0.491292,0.426078,0.435676,"176,664","80,800,700"
