Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.943047,0.955266,0.837352,0.841393,"4,254,390","173,945,000"
"Mar 28, 2018",0.858868,0.975753,0.848087,0.940655,"3,433,170","158,418,000"
"Mar 27, 2018",0.939932,0.941643,0.819209,0.859493,"4,320,340","173,370,000"
"Mar 26, 2018",0.965774,1.02,0.880898,0.943814,"4,502,770","178,137,000"
"Mar 25, 2018",0.972220,0.982365,0.929694,0.967814,"4,122,600","179,326,000"
"Mar 24, 2018",1.05,1.05,0.977343,0.987229,"3,073,830","193,362,000"
"Mar 23, 2018",1.04,1.05,0.945784,1.03,"4,223,010","191,991,000"
"Mar 22, 2018",1.09,1.13,0.998093,1.04,"4,210,990","201,291,000"
"Mar 21, 2018",1.10,1.20,1.08,1.09,"4,392,180","202,615,000"
"Mar 20, 2018",1.11,1.12,1.03,1.09,"5,623,370","204,094,000"
"Mar 19, 2018",0.987055,1.11,0.971501,1.10,"9,012,650","182,062,000"
"Mar 18, 2018",0.964045,1.01,0.851852,0.991883,"6,189,720","177,818,000"
"Mar 17, 2018",1.04,1.12,0.954637,0.965116,"2,707,500","191,744,000"
"Mar 16, 2018",1.06,1.11,1.01,1.04,"6,633,400","196,422,000"
"Mar 15, 2018",1.08,1.09,1.01,1.06,"5,955,390","199,157,000"
"Mar 14, 2018",1.24,1.25,1.04,1.08,"6,206,220","229,488,000"
"Mar 13, 2018",1.11,1.24,1.08,1.24,"5,567,880","205,275,000"
"Mar 12, 2018",1.08,1.16,1.02,1.11,"8,183,160","199,951,000"
"Mar 11, 2018",1.02,1.11,0.973592,1.09,"7,340,570","187,632,000"
"Mar 10, 2018",1.11,1.13,1.01,1.02,"6,253,690","204,540,000"
"Mar 09, 2018",1.12,1.13,1.03,1.11,"3,183,560","206,402,000"
"Mar 08, 2018",1.10,1.23,1.06,1.12,"3,398,920","203,632,000"
"Mar 07, 2018",1.28,1.30,1.02,1.11,"4,913,490","236,256,000"
"Mar 06, 2018",1.39,1.45,1.27,1.28,"6,965,800","256,670,000"
"Mar 05, 2018",1.63,1.65,1.39,1.39,"6,689,010","300,488,000"
"Mar 04, 2018",1.68,1.80,1.52,1.62,"5,975,830","309,865,000"
"Mar 03, 2018",1.83,1.86,1.65,1.68,"10,827,200","337,463,000"
"Mar 02, 2018",2.16,2.17,1.72,1.83,"14,566,100","398,197,000"
"Mar 01, 2018",2.31,2.32,2.11,2.16,"11,185,900","425,208,000"
"Feb 28, 2018",2.41,2.50,2.29,2.29,"13,621,500","444,172,000"
"Feb 27, 2018",2.35,2.45,2.31,2.41,"12,616,800","433,365,000"
"Feb 26, 2018",2.28,2.42,2.15,2.35,"19,613,500","420,004,000"
