Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.005981,0.006176,0.004854,0.005323,"164,729","16,690,000"
"Mar 28, 2018",0.005909,0.006500,0.005722,0.005957,"194,884","16,488,300"
"Mar 27, 2018",0.006163,0.006900,0.005899,0.005909,"130,048","17,196,500"
"Mar 26, 2018",0.006162,0.006254,0.005404,0.006169,"123,629","17,194,900"
"Mar 25, 2018",0.006360,0.006576,0.005753,0.006174,"49,355","17,748,100"
"Mar 24, 2018",0.006022,0.006743,0.006010,0.006443,"29,710","16,803,200"
"Mar 23, 2018",0.006132,0.006396,0.005434,0.005964,"142,346","17,110,900"
"Mar 22, 2018",0.006667,0.006846,0.005842,0.006133,"326,216","18,603,500"
"Mar 21, 2018",0.007502,0.007512,0.006409,0.006662,"37,633",-
"Mar 20, 2018",0.006070,0.008684,0.005675,0.007342,"121,144",-
"Mar 19, 2018",0.005571,0.006201,0.005065,0.006016,"29,086",-
"Mar 18, 2018",0.005836,0.005836,0.004167,0.005594,"31,662",-
"Mar 17, 2018",0.007066,0.007340,0.005420,0.005849,"36,754",-
"Mar 16, 2018",0.006421,0.007510,0.005963,0.007367,"55,473",-
"Mar 15, 2018",0.007226,0.012601,0.006153,0.006429,"55,861",-
"Mar 14, 2018",0.008387,0.008679,0.006778,0.007162,"30,663",-
"Mar 13, 2018",0.008804,0.009115,0.008080,0.008400,"17,620",-
"Mar 12, 2018",0.009350,0.009463,0.008273,0.008834,"14,320",-
"Mar 11, 2018",0.008893,0.009463,0.008511,0.009363,"58,267",-
"Mar 10, 2018",0.008758,0.010328,0.008352,0.008919,"29,160",-
"Mar 09, 2018",0.009039,0.009732,0.007314,0.008761,"159,983",-
"Mar 08, 2018",0.009048,0.010612,0.008657,0.009065,"37,571",-
"Mar 07, 2018",0.012286,0.013080,0.009092,0.009736,"226,978",-
"Mar 06, 2018",0.014338,0.014338,0.012135,0.012280,"60,046",-
"Mar 05, 2018",0.014010,0.014857,0.013019,0.014346,"118,859",-
"Mar 04, 2018",0.013527,0.014766,0.012682,0.014011,"132,588",-
"Mar 03, 2018",0.013748,0.014584,0.012829,0.013541,"88,934",-
"Mar 02, 2018",0.014065,0.014644,0.012800,0.013758,"132,946",-
"Mar 01, 2018",0.012222,0.014938,0.012153,0.014238,"159,307",-
"Feb 28, 2018",0.012528,0.015046,0.011916,0.012187,"164,716",-
"Feb 27, 2018",0.013890,0.014685,0.012415,0.012537,"65,703",-
"Feb 26, 2018",0.013480,0.014567,0.013016,0.013846,"66,789",-
"Feb 25, 2018",0.013982,0.014311,0.012484,0.013468,"86,140",-
"Feb 24, 2018",0.014116,0.014862,0.013116,0.013436,"79,474",-
"Feb 23, 2018",0.013397,0.014848,0.012898,0.014593,"57,939",-
"Feb 22, 2018",0.014030,0.015668,0.013044,0.013433,"168,898",-
"Feb 21, 2018",0.015384,0.015875,0.012681,0.014133,"71,656",-
"Feb 20, 2018",0.015940,0.016661,0.014479,0.015418,"137,117",-
"Feb 19, 2018",0.015808,0.017699,0.015662,0.015869,"168,739",-
"Feb 18, 2018",0.019373,0.020428,0.015886,0.016305,"259,209",-
"Feb 17, 2018",0.019821,0.020971,0.018474,0.019345,"242,371",-
"Feb 16, 2018",0.018936,0.022562,0.017794,0.019800,"508,709",-
"Feb 15, 2018",0.015541,0.017994,0.015528,0.017994,"474,748",-
