Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.365556,0.365556,0.314481,0.328346,"876,713","14,622,300"
"Mar 22, 2018",0.388873,0.396075,0.345820,0.368143,"1,084,220","15,554,900"
"Mar 21, 2018",0.378143,0.414791,0.375693,0.384248,"3,168,460","15,125,700"
"Mar 20, 2018",0.375027,0.394280,0.350876,0.378016,"2,395,260","15,001,100"
"Mar 19, 2018",0.321854,0.374513,0.307992,0.374513,"2,354,320","12,874,100"
"Mar 18, 2018",0.339512,0.339512,0.263604,0.319705,"1,625,430","13,580,500"
"Mar 17, 2018",0.396779,0.408647,0.334760,0.337085,"630,187","15,871,100"
"Mar 16, 2018",0.420102,0.426793,0.391264,0.395734,"1,116,190","16,804,100"
"Mar 15, 2018",0.451003,0.451016,0.375080,0.423570,"1,673,890","18,040,100"
"Mar 14, 2018",0.517157,0.570162,0.427631,0.457989,"5,509,870","20,686,300"
"Mar 13, 2018",0.493011,0.528202,0.493011,0.525581,"1,740,200","19,720,400"
"Mar 12, 2018",0.491151,0.577556,0.488746,0.505479,"4,357,890","19,646,000"
"Mar 11, 2018",0.470288,0.501511,0.442574,0.489892,"838,585","18,811,500"
"Mar 10, 2018",0.476956,0.524949,0.455115,0.473816,"1,911,460","19,078,200"
"Mar 09, 2018",0.479899,0.489049,0.405299,0.474466,"897,695","19,195,900"
"Mar 08, 2018",0.516947,0.545298,0.478101,0.485247,"1,229,000","20,677,900"
"Mar 07, 2018",0.606705,0.617432,0.511303,0.515873,"1,253,760","24,268,200"
"Mar 06, 2018",0.682572,0.682572,0.607085,0.607185,"1,483,780","27,302,900"
"Mar 05, 2018",0.718128,0.718128,0.669633,0.683576,"2,873,240","28,725,100"
"Mar 04, 2018",0.751655,0.751655,0.705703,0.722289,"4,811,230","30,066,200"
"Mar 03, 2018",0.575502,0.768930,0.559948,0.761272,"23,693,100","23,020,100"
"Mar 02, 2018",0.593716,0.598147,0.522454,0.575646,"1,586,640","23,748,700"
"Mar 01, 2018",0.587418,0.612012,0.545148,0.598517,"2,136,890","23,496,700"
"Feb 28, 2018",0.624339,0.631927,0.589809,0.591134,"513,904","24,973,600"
"Feb 27, 2018",0.643739,0.643739,0.617339,0.623719,"607,761","25,749,600"
"Feb 26, 2018",0.636577,0.646995,0.614676,0.645644,"636,124","25,463,100"
"Feb 25, 2018",0.625619,0.666299,0.609315,0.636229,"1,632,160","25,024,800"
"Feb 24, 2018",0.685790,0.687244,0.607806,0.630567,"647,521","27,431,600"
"Feb 23, 2018",0.657961,0.689922,0.623003,0.685806,"867,100","26,318,400"
"Feb 22, 2018",0.739708,0.739708,0.637430,0.661239,"1,280,500","29,588,300"
