Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.165529,0.165983,0.150226,0.156103,"2,383,560","12,414,700"
"Mar 29, 2018",0.202264,0.202294,0.163439,0.165683,"2,444,280","15,169,800"
"Mar 28, 2018",0.190765,0.212834,0.190765,0.201647,"3,416,690","14,307,300"
"Mar 27, 2018",0.192286,0.198724,0.184527,0.190618,"2,124,150","14,421,400"
"Mar 26, 2018",0.201775,0.209261,0.186455,0.191941,"2,819,480","15,133,200"
"Mar 25, 2018",0.201840,0.207774,0.195651,0.202118,"2,619,970","15,138,000"
"Mar 24, 2018",0.193989,0.203891,0.190339,0.203698,"2,254,690","14,549,200"
"Mar 23, 2018",0.202054,0.202561,0.185945,0.192978,"2,774,490","15,154,100"
"Mar 22, 2018",0.212074,0.225610,0.199136,0.202074,"3,131,470","15,905,500"
"Mar 21, 2018",0.206733,0.220953,0.200318,0.211876,"3,196,210","15,505,000"
"Mar 20, 2018",0.194383,0.212434,0.188987,0.206628,"2,032,500","14,578,700"
"Mar 19, 2018",0.182712,0.192897,0.176944,0.192454,"3,311,300","13,703,400"
"Mar 18, 2018",0.193742,0.193742,0.161817,0.182916,"3,407,210","14,530,600"
"Mar 17, 2018",0.207790,0.210859,0.193308,0.194114,"3,822,250","15,584,300"
"Mar 16, 2018",0.209842,0.214712,0.200766,0.207693,"4,757,500","15,738,100"
"Mar 15, 2018",0.228218,0.228928,0.199379,0.210047,"3,912,550","17,116,400"
"Mar 14, 2018",0.271283,0.272788,0.224692,0.228230,"3,489,740","20,346,300"
"Mar 13, 2018",0.269044,0.279435,0.265311,0.271459,"3,967,840","20,178,300"
"Mar 12, 2018",0.290661,0.303845,0.265020,0.269703,"4,036,150","21,799,600"
"Mar 11, 2018",0.278122,0.294834,0.265810,0.290982,"4,299,660","20,859,200"
"Mar 10, 2018",0.287447,0.303351,0.275936,0.277701,"3,579,700","21,558,500"
"Mar 09, 2018",0.298840,0.300239,0.256836,0.286632,"2,699,460","22,413,000"
"Mar 08, 2018",0.331254,0.331254,0.296223,0.299791,"3,431,050","24,844,100"
"Mar 07, 2018",0.345949,0.387621,0.310179,0.331707,"8,432,220","25,946,100"
"Mar 06, 2018",0.390764,0.390764,0.344953,0.346333,"4,550,550","29,307,300"
"Mar 05, 2018",0.418315,0.418315,0.382129,0.391627,"5,149,050","31,373,600"
"Mar 04, 2018",0.456736,0.456736,0.398824,0.421780,"5,850,400","34,255,200"
"Mar 03, 2018",0.407541,0.517606,0.405428,0.442261,"21,736,200","30,565,600"
"Mar 02, 2018",0.388156,0.477727,0.333400,0.411770,"21,373,500","29,111,700"
"Mar 01, 2018",0.324640,0.505684,0.307122,0.390306,"22,818,300","24,348,000"
"Feb 28, 2018",0.331183,0.354599,0.317583,0.322796,"4,730,490","24,838,800"
"Feb 27, 2018",0.302004,0.356484,0.299810,0.334103,"5,214,190","22,650,300"
"Feb 26, 2018",0.269909,0.309019,0.268996,0.300730,"1,811,700","20,243,100"
"Feb 25, 2018",0.282260,0.286080,0.261074,0.269728,"3,534,760","21,169,500"
"Feb 24, 2018",0.310003,0.318048,0.271461,0.280523,"3,451,790","23,250,200"
"Feb 23, 2018",0.284634,0.342994,0.272831,0.311009,"4,695,350","21,347,600"
"Feb 22, 2018",0.303854,0.320090,0.271984,0.284893,"4,385,520","22,789,100"
"Feb 21, 2018",0.327970,0.335970,0.301984,0.304211,"4,132,370","24,597,800"
"Feb 20, 2018",0.370044,0.393339,0.326174,0.328533,"4,916,580","27,753,300"
"Feb 19, 2018",0.342857,0.388432,0.339413,0.370366,"5,384,290","25,714,200"
"Feb 18, 2018",0.373429,0.376422,0.337948,0.343896,"4,751,760","28,007,200"
"Feb 17, 2018",0.361075,0.374945,0.357589,0.372657,"4,515,330","27,080,600"
"Feb 16, 2018",0.363611,0.368422,0.349618,0.360749,"4,733,820","27,270,800"
