Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.060778,0.061342,0.051934,0.052334,"514,096","9,580,800"
"Mar 28, 2018",0.061071,0.063254,0.059494,0.060708,"668,984","9,626,990"
"Mar 27, 2018",0.060401,0.064021,0.057148,0.061097,"765,871","9,521,260"
"Mar 26, 2018",0.063905,0.064397,0.057626,0.060486,"1,218,690","10,073,700"
"Mar 25, 2018",0.061130,0.066014,0.061130,0.063968,"51,035","9,636,210"
"Mar 24, 2018",0.063848,0.067979,0.041547,0.061700,"1,127,220","10,064,700"
"Mar 23, 2018",0.062520,0.064673,0.061270,0.063286,"205,161","9,855,260"
"Mar 22, 2018",0.059698,0.069852,0.058269,0.062520,"347,926","9,410,440"
"Mar 21, 2018",0.055063,0.064055,0.055018,0.059692,"189,325","8,679,780"
"Mar 20, 2018",0.053731,0.057594,0.052685,0.054945,"138,682","8,469,950"
"Mar 19, 2018",0.052990,0.058234,0.047681,0.053449,"70,872","8,353,010"
"Mar 18, 2018",0.055892,0.055892,0.043541,0.053082,"212,116","8,810,520"
"Mar 17, 2018",0.054805,0.062230,0.052428,0.056085,"326,637","8,639,140"
"Mar 16, 2018",0.054937,0.059077,0.053198,0.054752,"75,657","8,664,130"
"Mar 15, 2018",0.057322,0.057727,0.051468,0.054958,"44,100","9,040,210"
"Mar 14, 2018",0.066456,0.067363,0.056042,0.057315,"61,227","10,480,700"
"Mar 13, 2018",0.068062,0.071342,0.063254,0.066442,"143,719","10,734,100"
"Mar 12, 2018",0.071410,0.076365,0.065952,0.068097,"183,459","11,262,100"
"Mar 11, 2018",0.070745,0.072354,0.067895,0.071461,"35,950","11,157,200"
"Mar 10, 2018",0.072268,0.073960,0.069116,0.070919,"157,971","11,397,400"
"Mar 09, 2018",0.067458,0.074469,0.060349,0.072254,"568,374","10,647,200"
"Mar 08, 2018",0.076635,0.078839,0.066578,0.067602,"325,944","12,095,700"
"Mar 07, 2018",0.079712,0.090144,0.069896,0.076844,"891,461","12,048,100"
"Mar 06, 2018",0.088835,0.090561,0.075823,0.079676,"133,670","10,930,800"
"Mar 05, 2018",0.088023,0.092446,0.087344,0.088878,"54,087","10,830,900"
"Mar 04, 2018",0.093159,0.096414,0.086839,0.088008,"133,297","11,462,900"
"Mar 03, 2018",0.098892,0.100431,0.093099,0.093396,"98,890","12,168,200"
"Mar 02, 2018",0.091555,0.112260,0.088618,0.098935,"577,979","11,265,400"
"Mar 01, 2018",0.083963,0.091964,0.079139,0.091859,"139,006","10,331,300"
"Feb 28, 2018",0.095334,0.096136,0.082813,0.083889,"615,716","11,730,400"
"Feb 27, 2018",0.095446,0.099845,0.089105,0.095367,"618,594",-
"Feb 26, 2018",0.085420,0.105626,0.061449,0.095301,"1,778,630",-
"Feb 25, 2018",0.099983,0.101951,0.079030,0.079030,"311,454",-
"Feb 24, 2018",0.107999,0.112258,0.098666,0.100099,"62,739",-
"Feb 23, 2018",0.099982,0.111820,0.097646,0.108106,"105,049",-
"Feb 22, 2018",0.106613,0.109444,0.098776,0.099748,"69,594",-
"Feb 21, 2018",0.115273,0.115381,0.105945,0.106689,"112,234",-
"Feb 20, 2018",0.123424,0.125640,0.118979,0.119071,"101,766",-
"Feb 19, 2018",0.115800,0.125876,0.114016,0.123395,"222,222",-
