Date,Open,High,Low,Close,Volume,Market Cap
"Feb 06, 2018",0.488929,0.596668,0.378043,0.589116,"20,396,700","177,878,000"
"Feb 05, 2018",0.623040,0.634283,0.438687,0.481004,"13,437,600","226,669,000"
"Feb 04, 2018",0.738287,0.761323,0.594006,0.627483,"14,861,700","268,597,000"
"Feb 03, 2018",0.713390,0.763958,0.618336,0.739088,"15,418,100","259,539,000"
"Feb 02, 2018",0.753180,0.753180,0.500397,0.707711,"19,128,100","274,015,000"
"Feb 01, 2018",0.926123,0.927655,0.706134,0.752050,"23,134,900","336,934,000"
"Jan 31, 2018",0.882530,0.886002,0.779546,0.884864,"26,705,200","321,074,000"
"Jan 30, 2018",1.02,1.02,0.828787,0.848631,"18,326,800","371,624,000"
"Jan 29, 2018",1.07,1.07,0.953479,1.02,"23,293,300","388,971,000"
"Jan 28, 2018",1.06,1.08,1.02,1.07,"26,650,500","384,572,000"
"Jan 27, 2018",1.01,1.07,0.961957,1.05,"31,323,000","367,518,000"
"Jan 26, 2018",1.04,1.08,0.913299,1.01,"25,616,100","379,216,000"
"Jan 25, 2018",1.07,1.11,1.01,1.04,"30,849,700","390,440,000"
"Jan 24, 2018",1.07,1.10,1.00,1.06,"34,370,100","387,734,000"
"Jan 23, 2018",0.991394,1.13,0.958196,1.06,"59,679,100","360,680,000"
"Jan 22, 2018",1.08,1.11,0.905334,0.993227,"29,653,700","392,637,000"
"Jan 21, 2018",1.28,1.29,1.02,1.08,"41,923,700","460,668,000"
"Jan 20, 2018",1.20,1.34,1.19,1.29,"80,887,400","432,403,000"
"Jan 19, 2018",1.12,1.26,1.06,1.18,"69,820,800","402,263,000"
"Jan 18, 2018",1.08,1.23,1.02,1.12,"58,776,700","390,942,000"
"Jan 17, 2018",0.904559,1.12,0.625230,1.07,"62,693,000","326,204,000"
"Jan 16, 2018",1.27,1.27,0.692318,0.907884,"65,623,200","456,857,000"
"Jan 15, 2018",1.39,1.42,1.26,1.27,"60,930,400","502,896,000"
"Jan 14, 2018",1.55,1.55,1.31,1.40,"28,549,300","560,289,000"
"Jan 13, 2018",1.58,1.66,1.48,1.55,"41,143,800","568,252,000"
"Jan 12, 2018",1.45,1.63,1.33,1.57,"48,800,800","523,033,000"
"Jan 11, 2018",1.51,1.51,1.09,1.43,"52,589,500","545,150,000"
"Jan 10, 2018",1.66,1.66,1.34,1.53,"43,363,400","598,788,000"
"Jan 09, 2018",1.58,1.77,1.50,1.66,"49,840,100","570,561,000"
"Jan 08, 2018",1.80,1.80,1.39,1.58,"34,045,100","647,807,000"
"Jan 07, 2018",1.65,1.97,1.65,1.81,"58,875,100","595,919,000"
"Jan 06, 2018",1.41,1.77,1.34,1.64,"53,990,500","504,005,000"
"Jan 05, 2018",1.61,1.70,1.35,1.40,"47,063,100","576,560,000"
"Jan 04, 2018",1.81,2.01,1.55,1.59,"80,542,200","650,087,000"
"Jan 03, 2018",1.35,1.76,1.22,1.74,"93,221,200","480,096,000"
"Jan 02, 2018",1.07,1.34,1.07,1.28,"91,753,300","379,411,000"
"Jan 01, 2018",1.02,1.10,0.966561,1.06,"48,577,100","362,957,000"
"Dec 31, 2017",0.831415,1.07,0.822801,1.01,"23,370,900","296,170,000"
"Dec 30, 2017",0.966109,0.966109,0.777195,0.846537,"16,038,800","344,152,000"
"Dec 29, 2017",0.896765,1.01,0.871795,0.972021,"25,643,100","319,446,000"
"Dec 28, 2017",0.900555,0.904823,0.769176,0.876637,"19,558,100","320,796,000"
"Dec 27, 2017",0.944352,0.951680,0.866909,0.902262,"24,716,000","336,398,000"
"Dec 26, 2017",0.960351,1.02,0.881760,0.945188,"31,604,200","342,097,000"
"Dec 25, 2017",0.947366,0.998868,0.865791,0.974246,"29,755,000","337,471,000"
"Dec 24, 2017",0.987183,1.00,0.810746,0.940336,"25,272,900","351,655,000"
"Dec 23, 2017",0.871383,1.10,0.862608,0.962121,"39,323,000","310,405,000"
"Dec 22, 2017",1.16,1.20,0.618276,0.862285,"44,064,100","412,839,000"
"Dec 21, 2017",1.20,1.31,1.06,1.16,"74,210,900","427,645,000"
"Dec 20, 2017",1.06,1.21,0.878005,1.16,"81,283,900","374,867,000"
"Dec 19, 2017",1.08,1.21,1.02,1.06,"64,852,600","380,934,000"
"Dec 18, 2017",0.780846,1.17,0.780846,1.09,"168,284,000","274,957,000"
"Dec 17, 2017",0.684475,0.841245,0.680270,0.775526,"57,766,700","241,022,000"
"Dec 16, 2017",0.667227,0.714832,0.661181,0.686357,"38,805,700","234,949,000"
"Dec 15, 2017",0.723723,0.751795,0.594723,0.668100,"47,130,100","254,093,000"
"Dec 14, 2017",0.626618,0.790746,0.616981,0.718504,"88,571,700","220,001,000"
"Dec 13, 2017",0.579618,0.678058,0.540250,0.627483,"54,559,900","203,499,000"
"Dec 12, 2017",0.546496,0.588187,0.520113,0.580943,"42,883,400","191,871,000"
"Dec 11, 2017",0.505729,0.561003,0.501798,0.545032,"44,072,100","177,558,000"
"Dec 10, 2017",0.587794,0.589430,0.462540,0.511720,"40,612,700","206,370,000"
"Dec 09, 2017",0.553812,0.671494,0.553812,0.585786,"55,770,000","194,439,000"
"Dec 08, 2017",0.506800,0.599139,0.461959,0.556774,"62,051,200","177,933,000"
"Dec 07, 2017",0.610773,0.628219,0.489238,0.505571,"51,676,400","214,436,000"
"Dec 06, 2017",0.684174,0.687670,0.586134,0.611669,"50,325,900","240,206,000"
"Dec 05, 2017",0.735614,0.735614,0.679627,0.688834,"28,795,700","258,266,000"
"Dec 04, 2017",0.706309,0.749389,0.679353,0.740660,"30,970,200","247,977,000"
"Dec 03, 2017",0.702954,0.752195,0.677264,0.708239,"35,004,500","246,799,000"
"Dec 02, 2017",0.698503,0.729911,0.670184,0.702054,"31,766,600","245,236,000"
"Dec 01, 2017",0.653959,0.724002,0.616733,0.699235,"61,480,800","229,598,000"
"Nov 30, 2017",0.532228,0.708946,0.521676,0.659411,"80,239,700","186,859,000"
"Nov 29, 2017",0.629775,0.642421,0.493380,0.525557,"40,299,400","221,107,000"
"Nov 28, 2017",0.672135,0.738688,0.620961,0.630541,"43,501,500","235,486,000"
"Nov 27, 2017",0.768115,0.776564,0.655559,0.672835,"41,706,300","269,113,000"
"Nov 26, 2017",0.792866,0.800200,0.726698,0.762319,"41,512,000","277,785,000"
"Nov 25, 2017",0.790343,0.816808,0.781650,0.789455,"30,718,000","276,901,000"
"Nov 24, 2017",0.756625,0.843594,0.744370,0.794307,"46,228,900","265,083,000"
"Nov 23, 2017",0.848728,0.879933,0.727689,0.745673,"86,768,500","297,012,000"
"Nov 22, 2017",0.642765,0.952506,0.628696,0.840146,"194,048,000","224,935,000"
"Nov 21, 2017",0.564156,0.637127,0.453947,0.637127,"81,946,800","196,975,000"
"Nov 20, 2017",0.415823,0.710203,0.401325,0.559726,"206,794,000","145,107,000"
"Nov 19, 2017",0.304734,0.420343,0.296579,0.414196,"61,053,800","106,341,000"
"Nov 18, 2017",0.260864,0.305068,0.255361,0.305011,"13,438,800","91,032,200"
"Nov 17, 2017",0.244630,0.291286,0.229908,0.257452,"18,239,400","85,364,000"
"Nov 16, 2017",0.253112,0.268921,0.231429,0.245255,"15,691,700","88,324,000"
"Nov 15, 2017",0.275307,0.284849,0.231870,0.248700,"17,382,700","96,015,400"
"Nov 14, 2017",0.174396,0.298745,0.172280,0.275913,"55,682,800","60,821,200"
"Nov 13, 2017",0.148949,0.181288,0.144731,0.175871,"3,725,560","51,456,700"
"Nov 12, 2017",0.163862,0.167942,0.127300,0.146313,"5,570,010","56,608,500"
"Nov 11, 2017",0.170230,0.184976,0.157814,0.165206,"3,131,360","58,808,600"
"Nov 10, 2017",0.189471,0.213473,0.161041,0.174357,"4,744,480","65,455,700"
"Nov 09, 2017",0.181176,0.202713,0.175795,0.187390,"4,413,010","62,589,900"
"Nov 08, 2017",0.179857,0.198630,0.154298,0.179846,"9,507,180","62,134,300"
"Nov 07, 2017",0.224412,0.227878,0.163841,0.180334,"10,396,100","77,526,500"
"Nov 06, 2017",0.161005,0.231067,0.159316,0.221709,"17,658,100",-
"Nov 05, 2017",0.125807,0.165983,0.124718,0.161085,"8,740,810",-
"Nov 04, 2017",0.108171,0.129133,0.103376,0.126986,"2,340,710",-
"Nov 03, 2017",0.106639,0.114947,0.084542,0.108752,"4,855,080",-
"Nov 02, 2017",0.055665,0.166063,0.054823,0.121732,"6,588,830",-
"Nov 01, 2017",0.056271,0.063499,0.045818,0.055671,"1,017,460",-
