Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",3.00,3.07,2.84,3.05,"10,059,900","121,792,000"
"Mar 22, 2018",3.10,3.21,2.88,3.00,"7,062,780","126,134,000"
"Mar 21, 2018",3.05,3.21,3.01,3.10,"9,267,060","123,529,000"
"Mar 20, 2018",3.02,3.08,2.82,3.03,"7,161,360","122,681,000"
"Mar 19, 2018",2.88,3.01,2.77,3.00,"6,970,000","115,618,000"
"Mar 18, 2018",2.99,3.00,2.47,2.90,"5,820,200","119,861,000"
"Mar 17, 2018",3.23,3.28,2.97,2.99,"3,134,330","130,041,000"
"Mar 16, 2018",3.28,3.36,3.15,3.24,"4,696,370","131,739,000"
"Mar 15, 2018",3.34,3.36,3.12,3.29,"4,492,260","134,128,000"
"Mar 14, 2018",3.76,3.83,3.25,3.33,"4,115,390","151,418,000"
"Mar 13, 2018",3.84,3.93,3.72,3.76,"4,927,140","152,342,000"
"Mar 12, 2018",3.98,4.12,3.73,3.83,"6,402,490","157,846,000"
"Mar 11, 2018",3.80,4.06,3.71,3.98,"5,110,830","148,267,000"
"Mar 10, 2018",4.04,4.15,3.78,3.80,"3,019,420","157,508,000"
"Mar 09, 2018",3.95,4.06,3.61,4.05,"5,327,570","154,546,000"
"Mar 08, 2018",4.22,4.32,3.93,3.96,"5,435,600","164,896,000"
"Mar 07, 2018",4.70,4.75,4.14,4.22,"6,757,670","184,742,000"
"Mar 06, 2018",4.89,4.89,4.62,4.70,"5,732,700","192,406,000"
"Mar 05, 2018",5.00,5.05,4.90,4.90,"6,577,140","196,929,000"
"Mar 04, 2018",4.96,5.01,4.86,5.00,"5,103,170","195,513,000"
"Mar 03, 2018",4.99,5.07,4.93,4.96,"7,420,780","196,502,000"
"Mar 02, 2018",5.06,5.09,4.94,4.98,"7,102,660","199,265,000"
"Mar 01, 2018",4.84,5.13,4.81,5.06,"7,657,490","189,384,000"
"Feb 28, 2018",5.09,5.20,4.82,4.84,"7,993,500","199,805,000"
"Feb 27, 2018",5.05,5.22,5.00,5.09,"5,586,980","197,796,000"
"Feb 26, 2018",4.90,5.07,4.84,5.05,"5,681,650","191,697,000"
"Feb 25, 2018",4.83,4.95,4.75,4.89,"3,705,220","188,917,000"
"Feb 24, 2018",5.03,5.13,4.72,4.84,"4,331,290","196,598,000"
"Feb 23, 2018",4.77,5.19,4.67,5.05,"4,480,830","186,495,000"
"Feb 22, 2018",5.02,5.21,4.70,4.78,"4,642,030","196,351,000"
