Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",3.53,3.53,3.20,3.37,"55,475,600","1,819,370,000"
"Mar 22, 2018",3.67,3.80,3.31,3.52,"64,977,500","1,891,070,000"
"Mar 21, 2018",3.73,3.89,3.58,3.67,"73,672,800","1,935,360,000"
"Mar 20, 2018",3.80,3.89,3.47,3.70,"85,168,900","1,943,940,000"
"Mar 19, 2018",3.68,3.89,3.55,3.76,"79,043,900","1,863,440,000"
"Mar 18, 2018",3.71,3.76,2.95,3.71,"84,708,700","1,857,460,000"
"Mar 17, 2018",3.91,4.07,3.56,3.69,"74,617,800","1,943,650,000"
"Mar 16, 2018",3.78,4.06,3.61,3.90,"76,375,000","1,867,640,000"
"Mar 15, 2018",3.82,3.97,3.42,3.78,"82,232,600","1,873,350,000"
"Mar 14, 2018",4.31,4.59,3.79,3.85,"96,115,800","2,102,300,000"
"Mar 13, 2018",4.00,4.38,3.96,4.27,"112,069,000","1,953,490,000"
"Mar 12, 2018",3.87,4.26,3.75,4.02,"118,397,000","1,878,560,000"
"Mar 11, 2018",3.47,3.93,3.32,3.88,"68,766,600","1,672,220,000"
"Mar 10, 2018",3.71,3.89,3.45,3.50,"65,018,300","1,786,280,000"
"Mar 09, 2018",3.70,3.74,3.11,3.71,"83,895,100","1,770,700,000"
"Mar 08, 2018",4.09,4.23,3.56,3.72,"74,630,900","1,952,560,000"
"Mar 07, 2018",4.76,4.91,3.74,4.10,"91,903,400","2,264,240,000"
"Mar 06, 2018",4.71,5.11,4.24,4.78,"108,928,000","2,239,750,000"
"Mar 05, 2018",4.56,4.81,4.56,4.69,"43,447,100","2,167,770,000"
"Mar 04, 2018",4.42,4.86,4.39,4.56,"59,067,800","2,100,760,000"
"Mar 03, 2018",4.50,4.71,4.36,4.44,"57,747,400","2,141,270,000"
"Mar 02, 2018",4.95,5.03,4.50,4.51,"61,330,700","2,347,490,000"
"Mar 01, 2018",4.54,5.32,4.51,4.95,"79,097,200","2,157,860,000"
"Feb 28, 2018",5.23,5.55,4.54,4.54,"73,839,500","2,485,090,000"
"Feb 27, 2018",5.58,5.69,5.16,5.23,"80,397,100","2,653,660,000"
"Feb 26, 2018",5.85,5.85,5.28,5.60,"144,727,000","2,786,080,000"
"Feb 25, 2018",5.57,5.94,5.42,5.87,"67,857,100","2,656,900,000"
"Feb 24, 2018",5.96,6.20,5.39,5.56,"62,538,800","2,843,850,000"
"Feb 23, 2018",5.46,6.20,5.25,5.99,"74,050,200","2,613,700,000"
"Feb 22, 2018",5.93,6.33,5.32,5.47,"75,031,300","2,835,810,000"
