Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.033267,0.033584,0.029573,0.032186,"57,605","35,960,900"
"Mar 25, 2018",0.032665,0.034189,0.031731,0.033295,"22,562","35,310,000"
"Mar 24, 2018",0.034844,0.034873,0.032749,0.033113,"13,475","37,664,700"
"Mar 23, 2018",0.033275,0.034346,0.032007,0.034346,"14,531","35,968,900"
"Mar 22, 2018",0.032825,0.034467,0.032098,0.033277,"23,177","35,483,000"
"Mar 21, 2018",0.033832,0.034653,0.028964,0.032884,"41,670","36,571,100"
"Mar 20, 2018",0.029036,0.033985,0.028586,0.033769,"47,424","31,387,100"
"Mar 19, 2018",0.025365,0.029352,0.023679,0.028718,"81,867","27,418,100"
"Mar 18, 2018",0.022294,0.025554,0.020806,0.025472,"133,935","24,099,500"
"Mar 17, 2018",0.023409,0.023708,0.021765,0.022337,"12,836","25,304,300"
"Mar 16, 2018",0.023463,0.024193,0.022153,0.023371,"4,338","25,362,500"
"Mar 15, 2018",0.022818,0.023874,0.021626,0.023476,"12,104","24,666,000"
"Mar 14, 2018",0.025797,0.026388,0.022699,0.022828,"10,365","27,885,700"
"Mar 13, 2018",0.025458,0.026440,0.024744,0.025794,"41,293","27,519,300"
"Mar 12, 2018",0.024889,0.027066,0.024442,0.025600,"64,295","26,904,300"
"Mar 11, 2018",0.022764,0.025350,0.021964,0.024960,"9,974","24,607,200"
"Mar 10, 2018",0.023057,0.025110,0.022636,0.022843,"21,526","24,923,600"
"Mar 09, 2018",0.023391,0.023664,0.021140,0.023047,"13,458","25,284,900"
"Mar 08, 2018",0.025246,0.025621,0.022324,0.023535,"11,275","27,289,800"
"Mar 07, 2018",0.026800,0.027730,0.023703,0.025282,"8,205","28,970,100"
"Mar 06, 2018",0.029429,0.029429,0.024365,0.026834,"32,666","31,811,600"
"Mar 05, 2018",0.029555,0.030639,0.029005,0.029480,"8,644","31,947,800"
"Mar 04, 2018",0.031027,0.031041,0.027956,0.029570,"4,926","33,539,200"
"Mar 03, 2018",0.027748,0.031478,0.026963,0.031077,"16,447","27,420,500"
"Mar 02, 2018",0.030529,0.031218,0.026560,0.027779,"6,974","30,168,200"
"Mar 01, 2018",0.028850,0.030748,0.026610,0.030608,"68,532","28,508,800"
"Feb 28, 2018",0.028505,0.030486,0.027633,0.028809,"28,670","28,168,300"
"Feb 27, 2018",0.029178,0.030235,0.028382,0.028537,"50,738","28,833,600"
"Feb 26, 2018",0.026767,0.029312,0.026614,0.029094,"15,731","26,450,900"
"Feb 25, 2018",0.027344,0.027832,0.025908,0.026741,"3,324","27,020,800"
"Feb 24, 2018",0.028119,0.028923,0.026159,0.027386,"39,444","27,786,200"
"Feb 23, 2018",0.026970,0.028322,0.026127,0.028149,"51,406","26,650,800"
"Feb 22, 2018",0.029580,0.030854,0.025920,0.027329,"31,846","29,230,800"
"Feb 21, 2018",0.031459,0.032163,0.028573,0.029612,"3,914","31,086,700"
"Feb 20, 2018",0.031842,0.034296,0.031249,0.031498,"16,525","31,465,800"
"Feb 19, 2018",0.029708,0.031975,0.029175,0.031817,"9,516","29,357,300"
"Feb 18, 2018",0.031281,0.031960,0.029012,0.029846,"8,355","30,910,800"
"Feb 17, 2018",0.028835,0.031524,0.028469,0.031186,"46,609","28,494,300"
"Feb 16, 2018",0.028835,0.029296,0.027741,0.028841,"27,478","28,493,800"
"Feb 15, 2018",0.026813,0.029127,0.026509,0.028943,"42,114","26,496,400"
"Feb 14, 2018",0.023913,0.026866,0.023913,0.026799,"16,982","23,630,500"
"Feb 13, 2018",0.024824,0.025026,0.023498,0.023984,"60,756","24,522,000"
"Feb 12, 2018",0.022192,0.025153,0.022192,0.024779,"271,502","21,922,100"
"Feb 11, 2018",0.023341,0.023341,0.021340,0.022057,"27,824","23,056,700"
"Feb 10, 2018",0.023634,0.024714,0.022086,0.023361,"59,573","23,346,400"
"Feb 09, 2018",0.021813,0.023690,0.020750,0.023617,"23,005","21,111,800"
"Feb 08, 2018",0.020324,0.023076,0.020088,0.021748,"9,766","19,669,300"
"Feb 07, 2018",0.021040,0.022672,0.018385,0.020404,"54,127","20,365,600"
