Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.219585,0.225964,0.204724,0.208618,"1,652","7,276,000"
"Mar 22, 2018",0.222334,0.227620,0.198781,0.219653,185,"7,361,920"
"Mar 21, 2018",0.199638,0.234860,0.198130,0.220741,"7,059","6,605,710"
"Mar 20, 2018",0.224156,0.241737,0.219947,0.235078,609,"7,411,800"
"Mar 19, 2018",0.198140,0.247390,0.191693,0.221790,"4,012","6,547,020"
"Mar 18, 2018",0.214499,0.215144,0.175925,0.198813,"1,907","7,082,530"
"Mar 17, 2018",0.175152,0.216120,0.175152,0.214851,815,"5,779,260"
"Mar 16, 2018",0.218657,0.224694,0.174877,0.174877,"4,741","7,209,600"
"Mar 15, 2018",0.202985,0.225828,0.197947,0.218794,"2,759","6,688,170"
"Mar 14, 2018",0.241655,0.247169,0.197346,0.203078,"1,807","7,956,760"
"Mar 13, 2018",0.233257,0.250810,0.212010,0.241618,"5,674","7,674,870"
"Mar 12, 2018",0.269316,0.274167,0.229442,0.234588,"3,910","8,855,150"
"Mar 11, 2018",0.237858,0.280338,0.212191,0.270167,"2,026","7,815,190"
"Mar 10, 2018",0.241820,0.256525,0.220115,0.238639,"1,267","7,939,660"
"Mar 09, 2018",0.246354,0.249148,0.196992,0.241701,"2,056","8,082,790"
"Mar 08, 2018",0.223040,0.274372,0.222843,0.247794,"5,778","7,312,680"
"Mar 07, 2018",0.274425,0.296306,0.206383,0.223385,"1,529","8,990,830"
"Mar 06, 2018",0.299751,0.312382,0.271845,0.274784,"5,756","9,813,510"
"Mar 05, 2018",0.296270,0.303258,0.294707,0.300617,"4,465","9,692,600"
"Mar 04, 2018",0.291132,0.309819,0.244516,0.296478,"21,181","9,517,810"
"Mar 03, 2018",0.331374,0.352203,0.262287,0.291632,"23,590","10,825,700"
"Mar 02, 2018",0.308692,0.334279,0.308692,0.331767,"3,568","10,077,700"
"Mar 01, 2018",0.325819,0.346105,0.283495,0.309484,"2,296","10,629,200"
"Feb 28, 2018",0.296474,0.336774,0.283092,0.325340,"2,176","9,664,910"
"Feb 27, 2018",0.284531,0.350035,0.272414,0.296822,"3,929","9,268,930"
"Feb 26, 2018",0.257064,0.291001,0.249799,0.283741,"1,271","8,368,320"
"Feb 25, 2018",0.295442,0.298848,0.245672,0.256732,"2,812","9,610,830"
"Feb 24, 2018",0.316819,0.322606,0.246762,0.295890,"11,215","10,298,900"
"Feb 23, 2018",0.301031,0.327151,0.293574,0.317220,"2,725","9,778,750"
"Feb 22, 2018",0.329743,0.348771,0.292825,0.301312,"6,077","10,703,700"
