Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.081748,0.085324,0.077982,0.081348,"119,905","13,310,000"
"Mar 20, 2018",0.078290,0.083015,0.074610,0.081453,"164,876","16,723,900"
"Mar 19, 2018",0.069624,0.081997,0.067183,0.077670,"225,454","11,308,200"
"Mar 18, 2018",0.063051,0.073021,0.052892,0.069904,"245,212","10,240,500"
"Mar 17, 2018",0.068930,0.069482,0.061831,0.063328,"11,436","11,195,400"
"Mar 16, 2018",0.069774,0.071531,0.067012,0.068885,"195,969","11,332,400"
"Mar 15, 2018",0.072185,0.072508,0.066992,0.069855,"143,580","11,724,000"
"Mar 14, 2018",0.091727,0.095924,0.068382,0.071983,"192,557","14,898,000"
"Mar 13, 2018",0.102253,0.105981,0.091409,0.091692,"362,064",-
"Mar 12, 2018",0.110948,0.115942,0.094016,0.102358,"385,855",-
"Mar 11, 2018",0.100706,0.133854,0.095949,0.111085,"466,788",-
"Mar 10, 2018",0.099414,0.108217,0.096995,0.101007,"66,746",-
"Mar 09, 2018",0.097320,0.099715,0.084053,0.099465,"177,708",-
"Mar 08, 2018",0.102175,0.102210,0.097212,0.097499,"350,963",-
