Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.132693,0.161647,0.122710,0.146222,"273,977","39,813,500"
"Mar 22, 2018",0.133161,0.138643,0.126137,0.132622,"168,599","39,954,000"
"Mar 21, 2018",0.143659,0.159754,0.133952,0.134247,"253,030","43,103,900"
"Mar 20, 2018",0.141319,0.153690,0.136009,0.143489,"213,124","42,401,800"
"Mar 19, 2018",0.136700,0.145918,0.130009,0.141017,"235,738","41,015,800"
"Mar 18, 2018",0.154563,0.154563,0.116490,0.135547,"342,662","46,375,500"
"Mar 17, 2018",0.165745,0.170321,0.154109,0.154658,"80,619","49,730,800"
"Mar 16, 2018",0.171675,0.182263,0.159894,0.166417,"94,734","51,509,900"
"Mar 15, 2018",0.166189,0.196089,0.149341,0.173676,"413,962","49,863,900"
"Mar 14, 2018",0.188562,0.195692,0.159285,0.166191,"156,492","56,576,800"
"Mar 13, 2018",0.185255,0.199537,0.176900,0.188533,"186,057","55,584,400"
"Mar 12, 2018",0.181971,0.198866,0.175875,0.183707,"271,435","54,599,300"
"Mar 11, 2018",0.181300,0.185945,0.166430,0.182115,"156,785","54,397,900"
"Mar 10, 2018",0.174927,0.190928,0.171522,0.181538,"203,566","52,485,600"
"Mar 09, 2018",0.197097,0.200785,0.163886,0.174967,"446,053","59,137,600"
"Mar 08, 2018",0.209579,0.225164,0.187532,0.199228,"291,443","62,882,900"
"Mar 07, 2018",0.217984,0.232150,0.182581,0.209701,"613,044","65,404,500"
"Mar 06, 2018",0.264063,0.264063,0.214570,0.218108,"544,616","79,230,200"
"Mar 05, 2018",0.252266,0.273633,0.249747,0.264356,"372,688","75,690,800"
"Mar 04, 2018",0.253489,0.258432,0.244942,0.253472,"194,897","76,057,700"
"Mar 03, 2018",0.242348,0.259757,0.239379,0.252834,"274,732","72,714,900"
"Mar 02, 2018",0.213496,0.257508,0.213496,0.242824,"871,446","64,058,100"
"Mar 01, 2018",0.188040,0.217788,0.174396,0.213651,"568,790","56,420,100"
"Feb 28, 2018",0.178806,0.207439,0.168842,0.187971,"422,328","53,649,600"
"Feb 27, 2018",0.169279,0.179200,0.164002,0.178865,"187,776","50,791,000"
"Feb 26, 2018",0.158326,0.172178,0.151166,0.168234,"360,230","47,504,600"
"Feb 25, 2018",0.149435,0.165528,0.148240,0.157111,"339,531","44,837,000"
"Feb 24, 2018",0.160055,0.163384,0.141358,0.149485,"315,099","48,023,600"
"Feb 23, 2018",0.151229,0.191222,0.145113,0.160008,"587,232","45,375,200"
"Feb 22, 2018",0.177293,0.200937,0.151336,0.152428,"1,024,200","53,195,600"
