Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.002259,0.002816,0.001950,0.002727,"1,086,330","19,610,700"
"Mar 22, 2018",0.001682,0.002348,0.001601,0.002183,"876,076","14,569,200"
"Mar 21, 2018",0.001462,0.001695,0.001365,0.001685,"232,618","12,640,900"
"Mar 20, 2018",0.001207,0.001613,0.001105,0.001459,"164,775","10,427,100"
"Mar 19, 2018",0.001070,0.001205,0.001056,0.001117,"54,217","9,220,280"
"Mar 18, 2018",0.001114,0.001173,0.000956,0.001149,"110,379","9,586,710"
"Mar 17, 2018",0.001090,0.001311,0.001053,0.001117,"172,692","9,360,400"
"Mar 16, 2018",0.001001,0.001616,0.000965,0.001161,"80,077","8,586,310"
"Mar 15, 2018",0.001065,0.001138,0.000935,0.001001,"58,043","9,127,060"
"Mar 14, 2018",0.001265,0.001362,0.001024,0.001065,"160,643","10,837,400"
"Mar 13, 2018",0.001069,0.001349,0.000966,0.001276,"187,807","9,142,430"
"Mar 12, 2018",0.001050,0.001180,0.000967,0.001075,"39,460","8,974,310"
"Mar 11, 2018",0.001049,0.001165,0.000866,0.001053,"57,612","8,955,750"
"Mar 10, 2018",0.000933,0.001132,0.000834,0.001050,"106,975","7,957,680"
"Mar 09, 2018",0.000945,0.000953,0.000786,0.000932,"78,576","8,052,310"
"Mar 08, 2018",0.000900,0.001005,0.000838,0.000870,"55,835","7,662,240"
"Mar 07, 2018",0.001301,0.001310,0.000865,0.000901,"261,210","11,067,300"
"Mar 06, 2018",0.001381,0.001381,0.001192,0.001303,"64,674","11,732,400"
"Mar 05, 2018",0.001292,0.001493,0.001272,0.001397,"71,598","10,963,200"
"Mar 04, 2018",0.001374,0.001479,0.001232,0.001390,"68,352","11,640,200"
"Mar 03, 2018",0.001227,0.001576,0.001227,0.001376,"157,098","10,389,500"
"Mar 02, 2018",0.001316,0.001527,0.001221,0.001229,"110,303","11,132,600"
"Mar 01, 2018",0.001259,0.001438,0.001160,0.001404,"135,135","10,637,200"
"Feb 28, 2018",0.001494,0.001646,0.001248,0.001258,"121,318","12,595,200"
"Feb 27, 2018",0.001627,0.001646,0.001347,0.001504,"156,511","13,701,300"
"Feb 26, 2018",0.001633,0.001747,0.001426,0.001622,"138,544","13,740,800"
"Feb 25, 2018",0.001464,0.001837,0.001432,0.001543,"428,352","12,300,100"
"Feb 24, 2018",0.001118,0.001844,0.000976,0.001466,"595,618","9,382,170"
"Feb 23, 2018",0.001463,0.001480,0.001108,0.001120,"360,098","12,259,100"
"Feb 22, 2018",0.001675,0.001834,0.001384,0.001384,"105,046","14,016,400"
