Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.312368,0.337616,0.230797,0.289958,"16,708","15,966,200"
"Mar 24, 2018",0.365072,0.392140,0.287646,0.314489,"6,819","18,660,100"
"Mar 23, 2018",0.347959,0.363454,0.329920,0.363405,"5,477","17,785,400"
"Mar 22, 2018",0.342533,0.373068,0.334979,0.347331,"9,693","17,508,000"
"Mar 21, 2018",0.341912,0.371099,0.333991,0.342092,"9,501","17,476,300"
"Mar 20, 2018",0.316798,0.363833,0.304538,0.339931,181,"16,192,600"
"Mar 19, 2018",0.290574,0.333697,0.290315,0.315824,"11,592","14,852,200"
"Mar 18, 2018",0.344052,0.344052,0.190354,0.288931,"22,928","17,585,700"
"Mar 17, 2018",0.402529,0.475747,0.340691,0.344124,723,"20,574,600"
"Mar 16, 2018",0.495879,0.499372,0.372218,0.400625,"9,948","25,346,000"
"Mar 15, 2018",0.473000,0.510028,0.422165,0.496564,"1,358","24,176,600"
"Mar 14, 2018",0.469643,0.578135,0.439889,0.454306,"8,075","24,005,000"
"Mar 13, 2018",0.480681,0.490528,0.421099,0.490528,"5,040","24,569,200"
"Mar 12, 2018",0.546681,0.551493,0.435605,0.481411,"5,966","27,942,700"
"Mar 11, 2018",0.478090,0.687727,0.443520,0.530248,"14,490","24,436,800"
"Mar 10, 2018",0.617274,0.671039,0.479468,0.483361,"12,580","31,550,900"
"Mar 09, 2018",0.503602,0.618616,0.449567,0.618002,"6,284","25,740,800"
"Mar 08, 2018",0.531899,0.691489,0.277466,0.499970,"24,530","27,187,100"
"Mar 07, 2018",0.593004,0.635208,0.486490,0.532977,"8,141","30,310,400"
"Mar 06, 2018",0.625185,0.625185,0.570892,0.591270,"3,515","31,955,300"
"Mar 05, 2018",0.645958,0.647920,0.624587,0.624587,"1,071","33,017,100"
"Mar 04, 2018",0.633913,0.647561,0.617512,0.647561,"2,030","32,401,400"
"Mar 03, 2018",0.589515,0.737450,0.588818,0.634204,"10,111","30,132,100"
"Mar 02, 2018",0.547437,0.701374,0.543053,0.590056,"12,257","27,981,400"
"Mar 01, 2018",0.697388,0.713055,0.539114,0.547648,"5,634","35,645,800"
"Feb 28, 2018",0.706877,0.760040,0.659907,0.694869,"10,866","36,130,900"
"Feb 27, 2018",0.573122,0.809302,0.525264,0.707202,"32,928","29,294,200"
"Feb 26, 2018",0.569847,0.695121,0.513479,0.572601,"35,979","29,126,800"
"Feb 25, 2018",0.559941,0.601702,0.553144,0.571090,"2,455","28,620,400"
"Feb 24, 2018",0.529723,0.608618,0.527764,0.562256,"3,773","27,075,900"
"Feb 23, 2018",0.653904,0.662023,0.485953,0.530097,"16,088","33,423,200"
"Feb 22, 2018",0.812079,0.821143,0.473136,0.655053,"34,005","41,508,100"
"Feb 21, 2018",0.784363,0.870705,0.596146,0.812907,"9,658",-
"Feb 20, 2018",0.944367,1.56,0.795260,0.799627,"91,560",-
"Feb 19, 2018",0.907196,1.77,0.598757,0.944968,"120,594",-
"Feb 18, 2018",0.877871,1.10,0.815098,0.906461,"4,749",-
"Feb 17, 2018",0.944875,1.14,0.775440,1.14,"44,877",-
"Feb 16, 2018",1.08,1.24,0.393119,0.946816,"90,443",-
"Feb 15, 2018",1.11,1.15,1.06,1.08,"3,953",-
"Feb 14, 2018",1.05,1.14,1.03,1.11,"2,949",-
"Feb 13, 2018",1.13,1.21,1.02,1.05,"8,819",-
"Feb 12, 2018",1.19,1.32,1.13,1.13,"12,877",-
"Feb 11, 2018",1.23,1.49,1.16,1.19,"6,376",-
"Feb 10, 2018",1.09,1.67,1.06,1.23,"38,307",-
"Feb 09, 2018",1.20,1.27,1.05,1.09,"11,107",-
"Feb 08, 2018",1.15,1.55,0.921304,1.20,"8,965",-
"Feb 07, 2018",1.22,1.37,1.12,1.14,"14,848",-
