Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.940189,0.953106,0.923857,0.953106,"6,044","14,668,800"
"Mar 22, 2018",0.955348,0.964548,0.865813,0.939847,"10,472","14,905,300"
"Mar 21, 2018",0.951056,0.983721,0.821150,0.956429,"20,713","14,829,300"
"Mar 20, 2018",0.984782,0.991354,0.832646,0.943951,"12,145","15,333,600"
"Mar 19, 2018",0.982502,0.995941,0.887303,0.978938,"14,844","15,282,000"
"Mar 18, 2018",0.946096,1.01,0.882150,0.984213,"15,284","14,700,200"
"Mar 17, 2018",0.950889,0.963115,0.849894,0.946610,"14,364","14,751,300"
"Mar 16, 2018",0.942958,0.970327,0.927503,0.950049,"11,105","14,612,100"
"Mar 15, 2018",0.907230,0.961387,0.857859,0.943813,"11,281","13,866,900"
"Mar 14, 2018",0.954605,0.966319,0.867445,0.907301,"8,880","14,572,200"
"Mar 13, 2018",0.905622,0.955328,0.877882,0.954079,"11,052","13,798,600"
"Mar 12, 2018",0.939220,0.946167,0.879768,0.906728,"16,532","14,306,300"
"Mar 11, 2018",0.947945,0.989331,0.724092,0.940624,"17,705","14,417,300"
"Mar 10, 2018",0.968175,0.987719,0.900797,0.949528,"9,065","14,708,200"
"Mar 09, 2018",0.912255,0.984650,0.881215,0.968063,"16,860","13,842,900"
"Mar 08, 2018",0.922530,0.942821,0.900941,0.914597,"13,645","13,982,100"
"Mar 07, 2018",0.936605,0.946403,0.888265,0.928992,"11,191","14,179,600"
"Mar 06, 2018",0.975022,0.982819,0.906629,0.936748,"10,658","14,742,500"
"Mar 05, 2018",0.959528,1.00,0.929000,0.975405,"16,386","14,488,600"
"Mar 04, 2018",0.943628,1.01,0.901485,0.959408,"15,687","14,233,200"
"Mar 03, 2018",1.02,1.04,0.943229,0.944195,"14,706","15,284,800"
"Mar 02, 2018",1.06,1.07,0.964149,1.02,"20,484","15,898,500"
"Mar 01, 2018",1.00,1.12,0.954231,1.06,"31,682","14,999,100"
"Feb 28, 2018",1.06,1.10,0.977798,1.00,"16,005","15,814,600"
"Feb 27, 2018",1.03,1.12,0.975419,1.06,"24,879","15,413,300"
"Feb 26, 2018",0.986957,1.08,0.912532,1.03,"23,621","14,743,200"
"Feb 25, 2018",1.01,1.01,0.935755,0.986445,"15,788","15,074,900"
"Feb 24, 2018",0.970821,1.16,0.909601,1.01,"22,915","14,472,600"
"Feb 23, 2018",0.922476,1.15,0.847104,0.971684,"30,037","13,732,300"
"Feb 22, 2018",0.899943,0.919028,0.845940,0.919028,"12,513","13,355,200"
