Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",1.64,1.65,1.40,1.42,"3,246,180","382,719,000"
"Mar 28, 2018",1.58,1.70,1.56,1.64,"4,091,060","367,516,000"
"Mar 27, 2018",1.60,1.69,1.52,1.58,"3,504,030","373,786,000"
"Mar 26, 2018",1.65,1.70,1.52,1.60,"2,612,480","383,482,000"
"Mar 25, 2018",1.66,1.68,1.61,1.64,"1,714,780","385,926,000"
"Mar 24, 2018",1.70,1.74,1.67,1.67,"2,492,240","395,911,000"
"Mar 23, 2018",1.68,1.69,1.55,1.69,"3,157,770","391,208,000"
"Mar 22, 2018",1.75,1.82,1.58,1.68,"3,615,960","407,181,000"
"Mar 21, 2018",1.66,1.77,1.65,1.75,"2,733,890","386,627,000"
"Mar 20, 2018",1.60,1.73,1.54,1.66,"2,604,610","372,726,000"
"Mar 19, 2018",1.38,1.64,1.37,1.58,"3,766,160","322,719,000"
"Mar 18, 2018",1.49,1.49,1.20,1.39,"3,064,900","348,161,000"
"Mar 17, 2018",1.62,1.62,1.48,1.50,"3,615,700","376,337,000"
"Mar 16, 2018",1.62,1.66,1.57,1.61,"3,794,970","376,334,000"
"Mar 15, 2018",1.58,1.63,1.52,1.62,"3,000,830","367,515,000"
"Mar 14, 2018",1.72,1.76,1.55,1.58,"2,764,920","400,964,000"
"Mar 13, 2018",1.77,1.81,1.70,1.72,"2,199,740","411,817,000"
"Mar 12, 2018",1.84,1.87,1.73,1.77,"1,892,480","429,004,000"
"Mar 11, 2018",1.77,1.88,1.73,1.83,"1,742,250","412,298,000"
"Mar 10, 2018",1.87,1.92,1.76,1.77,"1,973,150","436,661,000"
"Mar 09, 2018",1.85,1.87,1.70,1.87,"4,413,590","431,191,000"
"Mar 08, 2018",1.87,1.93,1.73,1.85,"4,135,560","436,105,000"
"Mar 07, 2018",2.12,2.16,1.81,1.88,"4,148,770","493,871,000"
"Mar 06, 2018",2.31,2.31,2.10,2.12,"3,012,900","537,248,000"
"Mar 05, 2018",2.32,2.36,2.29,2.30,"2,081,650","541,309,000"
"Mar 04, 2018",2.30,2.33,2.26,2.32,"2,560,440","535,297,000"
"Mar 03, 2018",2.35,2.40,2.28,2.30,"2,165,790","547,408,000"
"Mar 02, 2018",2.37,2.44,2.29,2.36,"2,379,310","551,296,000"
"Mar 01, 2018",2.28,2.48,2.24,2.35,"3,402,770","530,770,000"
"Feb 28, 2018",2.43,2.61,2.27,2.28,"6,857,090","566,617,000"
"Feb 27, 2018",2.24,2.64,2.18,2.45,"8,332,700","521,511,000"
"Feb 26, 2018",2.16,2.25,2.07,2.22,"3,059,990","502,723,000"
"Feb 25, 2018",2.22,2.27,2.08,2.16,"3,149,650","516,912,000"
"Feb 24, 2018",2.30,2.37,2.18,2.23,"2,518,140","536,128,000"
"Feb 23, 2018",2.24,2.41,2.19,2.30,"3,459,750","521,525,000"
"Feb 22, 2018",2.34,2.52,2.22,2.26,"4,527,210","544,959,000"
"Feb 21, 2018",2.54,2.54,2.27,2.34,"4,012,920","592,488,000"
"Feb 20, 2018",2.72,2.76,2.52,2.53,"4,470,310","633,407,000"
"Feb 19, 2018",2.56,2.85,2.55,2.69,"3,536,050","596,454,000"
