Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.766750,0.781770,0.746348,0.747655,"535,485","62,909,000"
"Mar 23, 2018",0.761153,0.769948,0.720167,0.754422,"868,172","62,449,800"
"Mar 22, 2018",0.767118,0.816629,0.729135,0.761184,"947,789","62,939,200"
"Mar 21, 2018",0.743843,0.820486,0.743843,0.768119,"1,069,060","61,029,500"
"Mar 20, 2018",0.725310,0.757239,0.693666,0.742403,"482,724","59,509,000"
"Mar 19, 2018",0.622032,0.740536,0.611561,0.716856,"1,570,510","51,035,400"
"Mar 18, 2018",0.626790,0.641011,0.544617,0.624636,"962,933","51,425,800"
"Mar 17, 2018",0.674993,0.676380,0.622288,0.628154,"506,320","55,380,700"
"Mar 16, 2018",0.673649,0.702105,0.640711,0.674374,"518,353","55,270,400"
"Mar 15, 2018",0.737141,0.737141,0.608338,0.677693,"1,199,660","60,479,600"
"Mar 14, 2018",0.841293,0.855248,0.707818,0.737291,"1,259,520","69,025,000"
"Mar 13, 2018",0.806796,0.844886,0.787183,0.832498,"706,143","66,194,600"
"Mar 12, 2018",0.831085,0.870538,0.771868,0.804832,"719,358","68,187,400"
"Mar 11, 2018",0.753911,0.844088,0.693087,0.833223,"659,550","61,855,600"
"Mar 10, 2018",0.817141,0.852576,0.743353,0.758067,"700,385","67,043,400"
"Mar 09, 2018",0.811305,0.823492,0.702383,0.810076,"1,084,860","66,564,600"
"Mar 08, 2018",0.855518,0.949870,0.791646,0.816310,"2,856,930","70,192,100"
"Mar 07, 2018",0.890285,0.911473,0.756870,0.836718,"2,257,160","73,044,600"
"Mar 06, 2018",0.979352,0.979352,0.859571,0.891627,"867,870","80,352,200"
"Mar 05, 2018",0.986136,1.03,0.965254,0.982954,"1,755,660","80,908,800"
"Mar 04, 2018",0.995517,0.995745,0.926420,0.986597,"969,616","81,678,500"
"Mar 03, 2018",0.976166,1.12,0.976166,0.997159,"6,285,360","80,090,800"
"Mar 02, 2018",0.922649,1.02,0.898489,0.981981,"2,195,540","75,699,900"
"Mar 01, 2018",0.871821,0.949717,0.851598,0.926864,"927,055","71,529,600"
